Node,Death_Round
0,1173
1,1125
2,1130
3,1086
4,1104
5,1183
6,932
7,1006
8,1042
9,1250
10,1096
11,1039
12,1075
13,1034
14,969
15,1064
16,1074
17,1097
18,1102
19,1135
20,1126
21,973
22,1067
23,1042
24,1080
25,1124
26,1059
27,1120
28,969
29,1152
30,1027
31,1106
32,1103
33,1077
34,1166
35,1060
36,1058
37,1151
38,1081
39,1050
40,976
41,1007
42,1146
43,1139
44,1137
45,1050
46,1051
47,1112
48,1001
49,1096
50,1117
51,1007
52,984
53,1118
54,1015
55,1113
56,1009
57,1110
58,1110
59,1203
60,1126
61,966
62,957
63,1029
64,994
65,1068
66,943
67,1110
68,950
69,1111
70,1147
71,1131
72,1109
73,1044
74,1078
75,1159
76,1083
77,1208
78,1135
79,937
80,1066
81,1027
82,1224
83,994
84,1076
85,1078
86,1168
87,1189
88,1106
89,1052
90,1102
91,948
92,1027
93,1121
94,1020
95,1036
96,1145
97,1109
98,1168
99,1038
