Node,Death_Round
0,914
1,895
2,888
3,890
4,870
5,970
6,750
7,834
8,817
9,982
10,875
11,806
12,889
13,848
14,778
15,826
16,837
17,871
18,873
19,915
20,850
21,750
22,884
23,830
24,874
25,908
26,835
27,881
28,772
29,919
30,815
31,891
32,897
33,847
34,928
35,854
36,867
37,917
38,907
39,858
40,784
41,794
42,919
43,920
44,928
45,836
46,876
47,859
48,778
49,839
50,933
51,784
52,800
53,904
54,808
55,900
56,782
57,861
58,912
59,925
60,904
61,791
62,728
63,802
64,764
65,847
66,770
67,885
68,785
69,862
70,940
71,918
72,894
73,847
74,843
75,882
76,850
77,949
78,906
79,746
80,878
81,836
82,964
83,822
84,870
85,927
86,1029
87,965
88,894
89,874
90,886
91,758
92,807
93,893
94,836
95,814
96,937
97,865
98,923
99,813
