Node,Death_Round
0,1319
1,1290
2,1311
3,1236
4,1257
5,1327
6,1072
7,1151
8,1233
9,1435
10,1254
11,1177
12,1239
13,1204
14,1107
15,1211
16,1233
17,1250
18,1270
19,1323
20,1251
21,1118
22,1223
23,1193
24,1238
25,1332
26,1199
27,1243
28,1085
29,1368
30,1176
31,1268
32,1264
33,1251
34,1362
35,1228
36,1219
37,1350
38,1240
39,1239
40,1125
41,1186
42,1309
43,1270
44,1326
45,1217
46,1234
47,1302
48,1184
49,1289
50,1310
51,1187
52,1178
53,1296
54,1157
55,1367
56,1151
57,1239
58,1260
59,1347
60,1319
61,1119
62,1104
63,1200
64,1126
65,1227
66,1104
67,1270
68,1104
69,1256
70,1324
71,1309
72,1288
73,1175
74,1210
75,1319
76,1192
77,1384
78,1314
79,1037
80,1254
81,1213
82,1352
83,1146
84,1233
85,1270
86,1332
87,1379
88,1298
89,1242
90,1288
91,1081
92,1154
93,1302
94,1183
95,1181
96,1310
97,1261
98,1343
99,1202
