Node,Death_Round
0,441
1,434
2,439
3,433
4,436
5,443
6,401
7,411
8,418
9,427
10,426
11,419
12,430
13,421
14,395
15,435
16,421
17,424
18,420
19,437
20,425
21,414
22,424
23,418
24,429
25,421
26,417
27,433
28,403
29,440
30,404
31,439
32,443
33,431
34,446
35,433
36,436
37,430
38,433
39,422
40,402
41,429
42,423
43,433
44,430
45,425
46,434
47,426
48,411
49,430
50,444
51,426
52,426
53,429
54,439
55,435
56,401
57,434
58,439
59,443
60,429
61,412
62,413
63,432
64,410
65,435
66,406
67,437
68,406
69,422
70,422
71,426
72,437
73,429
74,426
75,449
76,424
77,448
78,424
79,397
80,425
81,412
82,445
83,406
84,423
85,435
86,442
87,447
88,425
89,433
90,435
91,415
92,405
93,426
94,436
95,419
96,445
97,430
98,450
99,432
