Node,Death_Round
0,323
1,332
2,340
3,325
4,325
5,342
6,338
7,327
8,335
9,324
10,331
11,319
12,328
13,340
14,316
15,333
16,336
17,321
18,326
19,323
20,340
21,312
22,327
23,331
24,340
25,324
26,325
27,331
28,302
29,332
30,334
31,329
32,334
33,327
34,344
35,337
36,326
37,323
38,322
39,336
40,322
41,332
42,323
43,325
44,328
45,332
46,325
47,330
48,333
49,339
50,343
51,322
52,330
53,339
54,336
55,331
56,311
57,325
58,332
59,331
60,322
61,325
62,314
63,323
64,315
65,324
66,307
67,331
68,314
69,328
70,332
71,325
72,326
73,334
74,334
75,322
76,338
77,346
78,328
79,321
80,335
81,336
82,328
83,310
84,327
85,345
86,339
87,341
88,323
89,333
90,340
91,307
92,314
93,332
94,324
95,330
96,326
97,332
98,347
99,322
