Node,Death_Round
0,27
1,27
2,10
3,27
4,3
5,24
6,15
7,20
8,27
9,5
10,18
11,12
12,17
13,14
14,14
15,7
16,27
17,5
18,9
19,26
20,14
21,2
22,27
23,22
24,19
25,20
26,27
27,27
28,17
29,1
30,13
31,4
32,27
33,27
34,21
35,18
36,27
37,27
38,10
39,27
40,18
41,1
42,27
43,26
44,20
45,5
46,27
47,21
48,27
49,15
50,27
51,4
52,11
53,19
54,27
55,26
56,3
57,16
58,25
59,27
60,27
61,22
62,6
63,13
64,29
65,25
66,10
67,27
68,10
69,27
70,29
71,34
72,27
73,9
74,32
75,30
76,16
77,28
78,31
79,33
80,4
81,27
82,30
83,24
84,17
85,23
86,27
87,35
88,36
89,32
90,7
91,7
92,8
93,36
94,26
95,8
96,27
97,27
98,39
99,24
