Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,LEACH_Epoch,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,98,2,6,100,32,68,0,1,105,782,76,76,3.3606084893,46.6393915107,5.6666666667,17.5202436761,0.3200000000,0.9352640000,79.9260957334
2,97,3,9,98,66,32,0,1,106,1051,87,87,3.7669873773,42.8724041335,7.4444444444,17.5556066396,0.6734693878,1.0401920000,148.2187903772
3,95,5,2,97,0,97,0,1,99,382,40,40,1.8193508736,41.0530532599,1.0000000000,0.0000000000,0.0000000000,0.5860160000,0.0000000000
4,92,8,5,95,15,80,0,1,100,650,73,73,3.2684983083,37.7845549516,3.6000000000,17.4423502503,0.1578947368,0.8965120000,39.0848086808
5,89,11,4,92,4,88,0,1,96,540,59,59,2.6586614747,35.1258934770,1.7500000000,16.3521971730,0.0434782609,0.7571200000,12.3415046492
6,88,12,9,89,65,24,0,1,98,952,84,84,3.6284411947,31.4974522823,7.3333333333,17.5381542760,0.7303370787,0.9950080000,152.6017881263
7,85,15,3,88,0,88,0,1,91,431,57,57,2.5863916812,28.9110606011,1.0000000000,0.0000000000,0.0000000000,0.7277120000,0.0000000000
8,83,17,4,85,20,65,0,1,89,498,60,60,2.6741243808,26.2369362203,5.7500000000,17.7537867466,0.2352941176,0.7514560000,62.1726355236
9,81,19,4,83,16,67,0,1,87,486,49,49,2.1804288032,24.0565074171,4.5000000000,17.5202530542,0.1927710843,0.6443840000,58.0026816308
10,77,23,4,81,0,81,0,1,85,474,64,64,2.9048380541,21.1516693630,1.0000000000,0.0000000000,0.0000000000,0.7802560000,0.0000000000
11,76,24,10,77,54,23,0,1,87,894,68,68,2.8851452204,18.2665241426,5.8000000000,17.1308237589,0.7012987013,0.8219200000,153.4747907339
12,75,25,3,76,35,41,0,1,79,371,46,46,2.0369722389,16.2295519037,12.3333333333,18.1542986008,0.4605263158,0.5992000000,136.4485981308
13,73,27,8,75,37,38,0,1,82,726,61,61,2.6349809991,13.5945709045,5.2500000000,17.1729650024,0.4933333333,0.7457920000,115.8929031151
14,70,30,7,73,21,52,0,1,80,636,48,48,2.0952485505,11.4993223541,3.7142857143,16.9083847868,0.2876712329,0.6200320000,79.1184971098
15,68,32,6,70,31,39,0,1,76,542,47,47,2.0442899703,9.4550323838,6.5000000000,17.4824836416,0.4428571429,0.6021120000,120.2699829932
16,66,34,2,68,0,68,0,1,70,266,28,28,1.2716884774,8.1833439063,1.0000000000,0.0000000000,0.0000000000,0.4117120000,0.0000000000
17,63,37,4,66,5,61,0,1,70,384,31,31,1.3899582806,6.7933856257,2.2500000000,16.8194080699,0.0757575758,0.4397440000,26.5609081648
18,60,40,3,63,0,63,0,1,66,306,19,19,0.8698090206,5.9235766051,1.0000000000,0.0000000000,0.0000000000,0.3190400000,0.0000000000
19,58,42,2,60,0,60,0,1,62,234,12,12,0.5506885883,5.3728880168,1.0000000000,0.0000000000,0.0000000000,0.2450560000,0.0000000000
20,55,45,5,58,11,47,0,1,63,391,21,21,0.9161495305,4.4567384863,3.8000000000,16.9892763237,0.1896551724,0.3312960000,77.5620593065
21,53,47,2,55,0,55,0,2,57,214,2,2,0.0995795617,4.3571589246,1.0000000000,0.0000000000,0.0000000000,0.1408960000,0.0000000000
22,51,49,4,53,6,47,0,2,57,306,10,10,0.4171916873,3.9399672373,3.2500000000,15.5735100380,0.1132075472,0.2156480000,64.9948063511
23,50,50,2,51,16,35,0,2,53,198,18,18,0.7948166997,3.1451505377,15.5000000000,18.1042489032,0.3137254902,0.2818240000,132.6217781310
24,47,53,2,48,4,44,0,2,47,225,16,16,0.7056309160,2.4395196217,5.0000000000,16.3522316390,0.0833333333,0.2502720000,37.3353791075
25,45,55,1,46,0,46,0,2,39,151,6,6,0.2763596136,2.1631600080,1.0000000000,0.0000000000,0.0000000000,0.1396800000,0.0000000000
26,41,59,1,42,0,42,0,2,27,162,12,12,0.5467990288,1.6163609793,1.0000000000,0.0000000000,0.0000000000,0.1700160000,0.0000000000
27,14,86,0,37,14,23,37,2,18,96,14,14,0.3515325196,1.2648284597,0.0000000000,9.3441493452,0.3783783784,0.1694080000,193.0487344163
28,13,87,2,14,7,7,0,2,16,50,7,7,0.3176686500,0.9471598097,5.0000000000,17.3535024907,0.5000000000,0.0997120000,163.9922978177
29,11,89,0,12,11,1,12,2,13,24,11,11,0.2491067451,0.6980530646,0.0000000000,9.3441542894,0.9166666667,0.1306560000,196.6691158462
30,9,91,1,10,0,10,0,2,11,28,3,3,0.1582805093,0.5397725554,1.0000000000,0.0000000000,0.0000000000,0.0516160000,0.0000000000
31,8,92,1,9,0,9,0,2,10,24,0,0,0.0232710219,0.5165015335,1.0000000000,0.0000000000,0.0000000000,0.0214400000,0.0000000000
32,6,94,1,7,0,7,0,2,8,18,2,2,0.1132114774,0.4032900561,1.0000000000,0.0000000000,0.0000000000,0.0358400000,0.0000000000
33,5,95,1,6,0,6,0,2,7,15,1,1,0.0679807448,0.3353093113,1.0000000000,0.0000000000,0.0000000000,0.0243520000,0.0000000000
34,4,96,2,5,3,2,0,2,7,14,3,3,0.1352345922,0.2000747191,2.0000000000,15.5735593419,0.6000000000,0.0430400000,162.8252788104
35,3,97,1,4,0,4,0,2,5,9,1,1,0.0676515987,0.1324231204,1.0000000000,0.0000000000,0.0000000000,0.0200640000,0.0000000000
36,1,99,0,3,1,2,3,2,0,0,1,1,0.0662918528,0.0661312676,0.0000000000,9.3441720107,0.3333333333,0.0093440000,250.0000000000
37,1,99,0,1,1,0,1,2,0,0,1,1,0.0224906851,0.0436405824,0.0000000000,9.3441720107,1.0000000000,0.0093440000,250.0000000000
38,1,99,0,1,1,0,1,2,0,0,1,1,0.0224906851,0.0211498973,0.0000000000,9.3441720107,1.0000000000,0.0093440000,250.0000000000
39,0,100,0,0,0,0,0,2,0,0,0,0,0.0211498973,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
