Node,Death_Round
0,201
1,199
2,195
3,190
4,197
5,200
6,194
7,198
8,182
9,197
10,191
11,183
12,191
13,190
14,188
15,191
16,200
17,184
18,188
19,193
20,195
21,193
22,193
23,195
24,192
25,196
26,187
27,192
28,187
29,193
30,192
31,195
32,195
33,198
34,198
35,196
36,188
37,198
38,201
39,198
40,185
41,195
42,194
43,197
44,195
45,196
46,191
47,201
48,188
49,192
50,201
51,194
52,190
53,196
54,189
55,200
56,195
57,188
58,194
59,195
60,200
61,193
62,197
63,184
64,185
65,200
66,186
67,197
68,196
69,189
70,197
71,190
72,193
73,187
74,191
75,194
76,190
77,199
78,200
79,197
80,190
81,189
82,199
83,192
84,193
85,198
86,195
87,200
88,199
89,195
90,191
91,189
92,200
93,196
94,188
95,194
96,200
97,198
98,201
99,195
