Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,LEACH_Epoch,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,6,100,6,94,0,1,105,782,6,6,0.2775652683,49.7224347317,16.6666666667,12.2881499297,0.0600000000,0.6079680000,30.3173851255
2,100,0,9,100,9,91,0,1,108,1073,9,9,0.4052678583,49.3171668735,11.1111111111,12.2881554328,0.0900000000,0.6600960000,41.8848167539
3,100,0,2,100,2,98,0,1,102,394,2,2,0.1064060595,49.2107608140,50.0000000000,12.2880760627,0.0200000000,0.5435520000,11.3034263511
4,100,0,5,100,5,95,0,1,105,685,5,5,0.2339817206,48.9767790933,20.0000000000,12.2881498624,0.0500000000,0.5956800000,25.7856567284
5,100,0,4,100,4,96,0,1,104,588,4,4,0.1917615421,48.7850175513,25.0000000000,12.2881683134,0.0400000000,0.5783040000,21.2483399734
6,100,0,9,100,9,91,0,1,109,1073,9,9,0.4050987439,48.3799188074,11.1111111111,12.2881352394,0.0900000000,0.6651840000,41.5644393130
7,100,0,3,100,3,97,0,1,103,491,3,3,0.1486375144,48.2312812930,33.3333333333,12.2880994595,0.0300000000,0.5609280000,16.4299161390
8,100,0,4,100,4,96,0,1,104,588,4,4,0.1915427148,48.0397385782,25.0000000000,12.2881298288,0.0400000000,0.5783040000,21.2483399734
9,100,0,4,100,4,96,0,1,104,588,4,4,0.1924436009,47.8472949773,25.0000000000,12.2881563785,0.0400000000,0.5783040000,21.2483399734
10,100,0,4,100,4,96,0,1,104,588,4,4,0.1916939876,47.6556009896,25.0000000000,12.2880840021,0.0400000000,0.5783040000,21.2483399734
11,100,0,10,100,10,90,0,1,110,1170,10,10,0.4479154018,47.2076855878,10.0000000000,12.2881199049,0.1000000000,0.6825600000,45.0070323488
12,100,0,3,100,3,97,0,1,103,491,3,3,0.1490504614,47.0586351264,33.3333333333,12.2881308968,0.0300000000,0.5609280000,16.4299161390
13,100,0,8,100,8,92,0,1,108,976,8,8,0.3623234913,46.6963116351,12.5000000000,12.2881353578,0.0800000000,0.6478080000,37.9371665679
14,100,0,7,100,7,93,0,1,107,879,7,7,0.3194393012,46.3768723339,14.2857142857,12.2881161911,0.0700000000,0.6304320000,34.1099436577
15,100,0,6,100,6,94,0,1,106,782,6,6,0.2768124378,46.1000598961,16.6666666667,12.2881088338,0.0600000000,0.6130560000,30.0657688694
16,100,0,2,100,2,98,0,1,102,394,2,2,0.1069255379,45.9931343582,50.0000000000,12.2881226860,0.0200000000,0.5435520000,11.3034263511
17,100,0,4,100,4,96,0,1,104,588,4,4,0.1922105299,45.8009238283,25.0000000000,12.2881388688,0.0400000000,0.5783040000,21.2483399734
18,100,0,3,100,3,97,0,1,103,491,3,3,0.1488200496,45.6521037786,33.3333333333,12.2881027059,0.0300000000,0.5609280000,16.4299161390
19,100,0,2,100,2,98,0,1,102,394,2,2,0.1074377583,45.5446660203,50.0000000000,12.2881758089,0.0200000000,0.5435520000,11.3034263511
