Node,Death_Round
0,1286
1,1262
2,1276
3,1188
4,1222
5,1324
6,1047
7,1106
8,1170
9,1410
10,1210
11,1143
12,1199
13,1169
14,1069
15,1206
16,1220
17,1224
18,1246
19,1289
20,1216
21,1098
22,1167
23,1180
24,1206
25,1263
26,1175
27,1212
28,1068
29,1365
30,1131
31,1187
32,1256
33,1218
34,1343
35,1154
36,1147
37,1307
38,1219
39,1202
40,1073
41,1138
42,1264
43,1244
44,1286
45,1175
46,1208
47,1233
48,1133
49,1228
50,1298
51,1141
52,1120
53,1239
54,1155
55,1270
56,1097
57,1229
58,1217
59,1343
60,1262
61,1088
62,1069
63,1192
64,1090
65,1187
66,1045
67,1237
68,1072
69,1215
70,1276
71,1251
72,1256
73,1146
74,1170
75,1289
76,1221
77,1302
78,1275
79,1019
80,1215
81,1153
82,1339
83,1125
84,1191
85,1203
86,1290
87,1354
88,1261
89,1191
90,1232
91,1049
92,1148
93,1252
94,1143
95,1161
96,1296
97,1224
98,1301
99,1204
