Node,Death_Round
0,1268
1,1239
2,1248
3,1193
4,1228
5,1328
6,1030
7,1110
8,1191
9,1365
10,1185
11,1135
12,1209
13,1151
14,1055
15,1167
16,1199
17,1208
18,1199
19,1255
20,1170
21,1073
22,1144
23,1123
24,1192
25,1238
26,1137
27,1207
28,1055
29,1300
30,1134
31,1215
32,1218
33,1199
34,1307
35,1149
36,1176
37,1268
38,1213
39,1192
40,1077
41,1117
42,1250
43,1224
44,1258
45,1181
46,1201
47,1217
48,1116
49,1223
50,1230
51,1144
52,1089
53,1257
54,1104
55,1292
56,1066
57,1154
58,1224
59,1311
60,1277
61,1067
62,1052
63,1153
64,1064
65,1173
66,1040
67,1212
68,1047
69,1210
70,1247
71,1220
72,1231
73,1132
74,1183
75,1250
76,1191
77,1332
78,1235
79,1017
80,1194
81,1149
82,1274
83,1110
84,1174
85,1213
86,1322
87,1285
88,1226
89,1200
90,1198
91,1021
92,1137
93,1223
94,1130
95,1146
96,1246
97,1181
98,1272
99,1152
