Node,Death_Round
0,321
1,321
2,313
3,306
4,321
5,321
6,309
7,316
8,303
9,321
10,304
11,307
12,309
13,304
14,286
15,309
16,304
17,301
18,320
19,310
20,310
21,308
22,315
23,303
24,316
25,317
26,308
27,321
28,317
29,317
30,318
31,321
32,321
33,314
34,321
35,321
36,311
37,321
38,321
39,302
40,303
41,304
42,313
43,321
44,321
45,311
46,313
47,321
48,303
49,318
50,321
51,320
52,307
53,311
54,314
55,318
56,310
57,316
58,321
59,321
60,314
61,311
62,284
63,303
64,317
65,313
66,306
67,321
68,301
69,313
70,321
71,309
72,321
73,301
74,307
75,321
76,315
77,321
78,310
79,301
80,305
81,308
82,321
83,304
84,318
85,321
86,321
87,321
88,304
89,321
90,313
91,301
92,288
93,321
94,314
95,320
96,321
97,320
98,321
99,312
