Node,Death_Round
0,218
1,217
2,214
3,220
4,207
5,214
6,210
7,206
8,217
9,203
10,201
11,213
12,218
13,207
14,217
15,205
16,204
17,208
18,208
19,215
20,212
21,204
22,211
23,211
24,219
25,218
26,219
27,201
28,207
29,218
30,212
31,206
32,205
33,201
34,209
35,206
36,211
37,209
38,202
39,203
40,206
41,212
42,208
43,215
44,207
45,219
46,217
47,220
48,206
49,206
50,216
51,205
52,214
53,216
54,211
55,202
56,208
57,211
58,218
59,208
60,218
61,208
62,216
63,211
64,208
65,216
66,219
67,215
68,216
69,206
70,206
71,206
72,216
73,207
74,212
75,211
76,201
77,205
78,207
79,213
80,215
81,209
82,206
83,205
84,213
85,204
86,208
87,211
88,216
89,205
90,201
91,201
92,203
93,201
94,208
95,208
96,220
97,205
98,218
99,204
