Node,Death_Round
0,1530
1,1062
2,1035
3,1014
4,1518
5,1630
6,1206
7,1166
8,1267
9,1614
10,1001
11,1139
12,1058
13,1152
14,1266
15,1152
16,1012
17,1009
18,1234
19,1561
20,1360
21,1234
22,1232
23,1190
24,1020
25,1084
26,1385
27,1359
28,1236
29,1652
30,1344
31,998
32,1189
33,1150
34,1036
35,1360
36,1401
37,1059
38,1134
39,1122
40,1317
41,1164
42,1552
43,1104
44,1512
45,1163
46,1419
47,1563
48,1346
49,1523
50,1453
51,1400
52,1280
53,1576
54,1420
55,1591
56,1166
57,1005
58,1068
59,1023
60,1027
61,1270
62,1204
63,1230
64,1131
65,1017
66,1185
67,1518
68,1241
69,1520
70,1061
71,1033
72,1108
73,1375
74,1167
75,1052
76,1349
77,1543
78,1030
79,1194
80,1070
81,1104
82,1029
83,1156
84,1439
85,988
86,1559
87,1458
88,1547
89,1144
90,1348
91,1219
92,1318
93,1535
94,1394
95,992
96,1277
97,1396
98,1250
99,1275
