Node,Death_Round
0,1152
1,854
2,785
3,785
4,1100
5,1207
6,911
7,877
8,914
9,1195
10,772
11,880
12,832
13,862
14,904
15,844
16,771
17,797
18,915
19,1154
20,1021
21,894
22,971
23,920
24,781
25,837
26,1027
27,1016
28,922
29,1195
30,989
31,790
32,872
33,871
34,807
35,1046
36,1014
37,812
38,908
39,860
40,948
41,871
42,1115
43,872
44,1098
45,862
46,1032
47,1134
48,925
49,1104
50,1066
51,970
52,942
53,1133
54,1029
55,1166
56,913
57,789
58,838
59,793
60,786
61,949
62,881
63,915
64,847
65,768
66,901
67,1097
68,904
69,1082
70,833
71,801
72,841
73,1037
74,890
75,802
76,991
77,1117
78,816
79,910
80,824
81,825
82,798
83,915
84,1009
85,804
86,1169
87,1094
88,1066
89,868
90,1003
91,851
92,1009
93,1108
94,1023
95,764
96,949
97,1066
98,951
99,960
