Node,Death_Round
0,979
1,728
2,675
3,667
4,935
5,1025
6,801
7,768
8,787
9,999
10,668
11,723
12,722
13,714
14,821
15,763
16,660
17,665
18,744
19,1013
20,860
21,766
22,828
23,769
24,663
25,720
26,877
27,821
28,787
29,1046
30,846
31,680
32,760
33,749
34,688
35,899
36,902
37,700
38,779
39,737
40,809
41,741
42,979
43,742
44,963
45,740
46,916
47,977
48,815
49,968
50,928
51,884
52,787
53,971
54,934
55,994
56,760
57,655
58,712
59,679
60,673
61,795
62,756
63,771
64,715
65,657
66,770
67,956
68,790
69,898
70,718
71,686
72,731
73,899
74,760
75,699
76,843
77,947
78,682
79,769
80,715
81,720
82,678
83,760
84,910
85,683
86,1007
87,926
88,944
89,764
90,834
91,748
92,854
93,993
94,902
95,648
96,823
97,880
98,813
99,807
