Node,Death_Round
0,302
1,280
2,275
3,271
4,302
5,311
6,290
7,284
8,282
9,304
10,263
11,277
12,278
13,280
14,284
15,284
16,265
17,277
18,285
19,306
20,296
21,283
22,288
23,287
24,269
25,273
26,283
27,297
28,282
29,305
30,296
31,263
32,287
33,275
34,277
35,301
36,295
37,277
38,289
39,265
40,298
41,284
42,299
43,280
44,309
45,284
46,302
47,304
48,288
49,309
50,304
51,289
52,288
53,308
54,305
55,306
56,271
57,264
58,273
59,272
60,262
61,282
62,276
63,289
64,280
65,265
66,283
67,303
68,283
69,293
70,272
71,272
72,277
73,299
74,287
75,269
76,288
77,307
78,277
79,295
80,279
81,277
82,280
83,270
84,292
85,275
86,310
87,305
88,295
89,287
90,284
91,291
92,287
93,301
94,294
95,265
96,298
97,296
98,298
99,295
