Node,Death_Round
0,729
1,590
2,530
3,518
4,679
5,752
6,533
7,572
8,571
9,739
10,513
11,518
12,553
13,521
14,550
15,538
16,504
17,522
18,579
19,687
20,616
21,543
22,609
23,542
24,514
25,557
26,590
27,635
28,530
29,727
30,575
31,526
32,618
33,557
34,539
35,639
36,609
37,563
38,594
39,539
40,545
41,544
42,677
43,579
44,686
45,537
46,631
47,659
48,557
49,659
50,656
51,582
52,573
53,686
54,633
55,690
56,542
57,528
58,552
59,532
60,555
61,544
62,531
63,555
64,518
65,535
66,520
67,654
68,539
69,652
70,579
71,546
72,564
73,622
74,585
75,560
76,585
77,697
78,549
79,524
80,537
81,520
82,549
83,545
84,610
85,552
86,713
87,679
88,664
89,566
90,623
91,536
92,579
93,684
94,622
95,511
96,636
97,629
98,624
99,594
