Node,Death_Round
0,1059
1,809
2,744
3,751
4,1006
5,1117
6,887
7,863
8,876
9,1146
10,737
11,822
12,804
13,801
14,901
15,822
16,735
17,755
18,837
19,1063
20,976
21,824
22,895
23,881
24,730
25,796
26,985
27,935
28,875
29,1158
30,888
31,751
32,823
33,808
34,746
35,978
36,957
37,770
38,847
39,807
40,897
41,830
42,1070
43,815
44,1036
45,793
46,1004
47,1077
48,874
49,1032
50,983
51,932
52,907
53,1084
54,999
55,1110
56,822
57,733
58,764
59,754
60,753
61,895
62,822
63,851
64,791
65,738
66,818
67,1052
68,867
69,1018
70,784
71,756
72,805
73,994
74,850
75,766
76,923
77,1079
78,754
79,842
80,791
81,809
82,757
83,880
84,997
85,758
86,1124
87,1037
88,1043
89,815
90,936
91,853
92,904
93,1080
94,979
95,720
96,926
97,997
98,913
99,898
