Node,Death_Round
0,846
1,651
2,587
3,586
4,837
5,893
6,675
7,661
8,669
9,900
10,577
11,643
12,630
13,631
14,716
15,666
16,579
17,585
18,677
19,858
20,780
21,678
22,704
23,662
24,585
25,622
26,765
27,722
28,705
29,913
30,739
31,598
32,668
33,652
34,596
35,797
36,780
37,616
38,695
39,637
40,714
41,658
42,798
43,668
44,825
45,642
46,799
47,874
48,672
49,819
50,819
51,760
52,731
53,862
54,811
55,886
56,675
57,572
58,620
59,595
60,611
61,695
62,675
63,672
64,649
65,594
66,641
67,835
68,685
69,818
70,631
71,605
72,638
73,783
74,674
75,610
76,757
77,841
78,616
79,652
80,632
81,632
82,589
83,685
84,787
85,616
86,902
87,827
88,837
89,669
90,746
91,653
92,745
93,870
94,772
95,583
96,737
97,775
98,735
99,738
