Node,Death_Round
0,1257
1,894
2,852
3,835
4,1207
5,1334
6,966
7,946
8,1008
9,1297
10,836
11,927
12,875
13,947
14,987
15,918
16,833
17,849
18,986
19,1257
20,1127
21,997
22,1028
23,1002
24,851
25,890
26,1138
27,1072
28,981
29,1280
30,1030
31,838
32,955
33,917
34,860
35,1108
36,1130
37,863
38,965
39,947
40,1017
41,928
42,1234
43,919
44,1182
45,934
46,1132
47,1198
48,1048
49,1186
50,1161
51,1115
52,1005
53,1213
54,1127
55,1260
56,967
57,821
58,885
59,850
60,849
61,1050
62,972
63,1006
64,940
65,823
66,933
67,1235
68,945
69,1187
70,877
71,860
72,917
73,1102
74,931
75,871
76,1071
77,1229
78,860
79,953
80,898
81,907
82,860
83,974
84,1099
85,838
86,1266
87,1211
88,1226
89,957
90,1097
91,992
92,1055
93,1215
94,1105
95,831
96,1031
97,1114
98,1015
99,1037
