Node,Death_Round
0,424
1,377
2,370
3,377
4,428
5,434
6,390
7,395
8,381
9,432
10,365
11,365
12,365
13,374
14,371
15,388
16,354
17,375
18,383
19,426
20,410
21,386
22,393
23,391
24,373
25,369
26,417
27,409
28,390
29,430
30,410
31,378
32,390
33,384
34,366
35,415
36,416
37,372
38,385
39,374
40,397
41,386
42,402
43,387
44,422
45,396
46,420
47,429
48,399
49,432
50,421
51,408
52,393
53,420
54,424
55,421
56,387
57,369
58,385
59,367
60,379
61,399
62,389
63,399
64,378
65,373
66,383
67,431
68,392
69,412
70,370
71,362
72,392
73,402
74,390
75,365
76,381
77,425
78,371
79,379
80,368
81,362
82,361
83,388
84,405
85,369
86,433
87,413
88,410
89,379
90,397
91,391
92,395
93,424
94,406
95,351
96,392
97,413
98,410
99,390
