Node,Death_Round
0,330
1,304
2,282
3,292
4,327
5,322
6,307
7,311
8,302
9,326
10,286
11,296
12,288
13,307
14,301
15,307
16,299
17,288
18,304
19,332
20,321
21,302
22,304
23,301
24,285
25,292
26,322
27,308
28,304
29,335
30,310
31,283
32,308
33,303
34,292
35,326
36,304
37,300
38,313
39,300
40,318
41,307
42,316
43,304
44,325
45,307
46,326
47,328
48,304
49,324
50,323
51,330
52,303
53,333
54,329
55,336
56,300
57,289
58,301
59,296
60,289
61,309
62,284
63,314
64,299
65,281
66,304
67,321
68,304
69,327
70,292
71,287
72,304
73,320
74,305
75,281
76,313
77,322
78,295
79,313
80,281
81,287
82,282
83,296
84,305
85,302
86,334
87,326
88,317
89,310
90,304
91,319
92,318
93,331
94,307
95,288
96,302
97,314
98,310
99,303
