Node,Death_Round
0,23
1,23
2,10
3,23
4,3
5,23
6,15
7,20
8,17
9,5
10,18
11,12
12,17
13,14
14,14
15,7
16,23
17,5
18,9
19,23
20,14
21,2
22,17
23,19
24,19
25,20
26,23
27,19
28,17
29,1
30,13
31,4
32,23
33,23
34,20
35,18
36,23
37,23
38,10
39,30
40,18
41,1
42,23
43,10
44,20
45,5
46,21
47,28
48,23
49,15
50,33
51,4
52,11
53,19
54,22
55,25
56,3
57,16
58,33
59,21
60,23
61,30
62,6
63,13
64,39
65,6
66,10
67,31
68,10
69,23
70,26
71,29
72,28
73,9
74,32
75,22
76,16
77,35
78,40
79,36
80,4
81,15
82,41
83,46
84,17
85,22
86,26
87,46
88,42
89,31
90,7
91,7
92,8
93,45
94,27
95,8
96,23
97,21
98,47
99,24
