Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,LEACH_Epoch,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,98,2,6,100,32,68,0,1,105,782,76,76,3.3773016886,46.6226983114,5.6666666667,17.5207192961,0.3200000000,0.9352640000,79.9260957334
2,97,3,9,98,66,32,0,1,106,1051,87,87,3.7895425315,42.8331557799,7.4444444444,17.5560003225,0.6734693878,1.0401920000,148.2187903772
3,95,5,2,97,0,97,0,1,99,382,40,40,1.8193508736,41.0138049063,1.0000000000,0.0000000000,0.0000000000,0.5860160000,0.0000000000
4,92,8,5,95,15,80,0,1,100,650,73,73,3.2695167487,37.7442881577,3.6000000000,17.4425666867,0.1578947368,0.8965120000,39.0848086808
5,89,11,4,92,4,88,0,1,96,540,59,59,2.6629435633,35.0813445944,1.7500000000,16.3526667053,0.0434782609,0.7571200000,12.3415046492
6,87,13,9,89,47,42,0,1,98,952,83,83,3.6394392135,31.4419053809,5.4444444444,17.2968304743,0.5280898876,0.9856640000,111.3888708525
7,84,16,3,87,0,87,0,1,90,426,57,57,2.5861904059,28.8557149750,1.0000000000,0.0000000000,0.0000000000,0.7255680000,0.0000000000
8,82,18,4,84,20,64,0,1,88,492,60,60,2.6809327624,26.1747822126,5.5000000000,17.7542443097,0.2380952381,0.7493120000,62.3505295524
9,80,20,4,82,16,66,0,1,86,480,49,49,2.1814298453,23.9933523673,4.5000000000,17.5205027386,0.1951219512,0.6422400000,58.1963129048
10,75,25,4,79,0,79,0,1,83,463,64,64,2.9045062286,21.0888461388,1.0000000000,0.0000000000,0.0000000000,0.7759680000,0.0000000000
11,74,26,10,75,54,21,0,1,85,870,68,68,2.8982407144,18.1906054244,5.6000000000,17.1311899020,0.7200000000,0.8176320000,154.2796759422
12,73,27,3,74,35,39,0,1,77,361,46,46,2.0402081736,16.1503972508,12.0000000000,18.1546583873,0.4729729730,0.5949120000,137.4320907966
13,71,29,8,73,37,36,0,1,80,706,60,60,2.5981822510,13.5522149998,5.1250000000,17.1732893044,0.5068493151,0.7321600000,118.0506993007
14,68,32,7,71,20,51,0,1,78,618,46,46,2.0427631225,11.5094518773,3.5714285714,16.8198751656,0.2816901408,0.5970560000,78.2506163576
15,65,35,6,68,15,53,0,1,74,526,45,45,2.0052186348,9.5042332425,3.5000000000,16.8197293869,0.2205882353,0.5791360000,60.5039230854
16,63,37,2,65,0,65,0,1,67,254,28,28,1.2713143792,8.2329188633,1.0000000000,0.0000000000,0.0000000000,0.4052800000,0.0000000000
17,58,42,4,61,4,57,0,1,65,359,30,30,1.3484570037,6.8844618596,2.2500000000,16.3526644393,0.0655737705,0.4196800000,22.2645825391
18,55,45,3,58,0,58,0,1,61,281,19,19,0.8690309012,6.0154309584,1.0000000000,0.0000000000,0.0000000000,0.3083200000,0.0000000000
19,51,49,2,53,0,53,0,1,55,209,12,12,0.5499307058,5.4655002526,1.0000000000,0.0000000000,0.0000000000,0.2300480000,0.0000000000
20,47,53,5,51,5,46,0,1,56,342,19,19,0.8739314832,4.5915687694,2.2000000000,16.8198385831,0.0980392157,0.2976000000,39.2473118280
21,44,56,1,45,0,45,0,2,34,143,0,0,0.0240881833,4.5674805861,1.0000000000,0.0000000000,0.0000000000,0.0728960000,0.0000000000
22,41,59,3,44,0,44,0,2,47,211,5,5,0.2932908848,4.2741897013,1.0000000000,0.0000000000,0.0000000000,0.1474880000,0.0000000000
23,25,75,0,40,25,15,40,2,0,0,25,25,0.7973706822,3.4768190191,0.0000000000,9.3445113070,0.6250000000,0.2336000000,250.0000000000
24,24,76,2,25,6,19,0,2,27,94,20,20,0.9050786643,2.5717403549,3.5000000000,17.1314415552,0.2400000000,0.2447680000,57.2623872402
25,23,77,1,24,0,24,0,2,25,69,1,1,0.0702710937,2.5014692612,1.0000000000,0.0000000000,0.0000000000,0.0629440000,0.0000000000
26,21,79,2,23,0,23,0,2,25,86,4,4,0.2196791060,2.2817901553,1.0000000000,0.0000000000,0.0000000000,0.0909760000,0.0000000000
27,20,80,1,21,0,21,0,2,22,60,11,11,0.5188744721,1.7629156831,1.0000000000,0.0000000000,0.0000000000,0.1499520000,0.0000000000
28,18,82,1,19,0,19,0,2,20,55,3,3,0.1524748573,1.6104408259,1.0000000000,0.0000000000,0.0000000000,0.0709120000,0.0000000000
29,17,83,1,18,0,18,0,2,19,51,4,4,0.1961014777,1.4143393482,1.0000000000,0.0000000000,0.0000000000,0.0781120000,0.0000000000
30,15,85,3,17,4,13,0,2,20,76,4,4,0.1984514293,1.2158879189,2.3333333333,16.3524625182,0.2352941176,0.0802560000,116.4274322169
31,13,87,2,15,0,15,0,2,17,54,2,2,0.1297449048,1.0861430140,1.0000000000,0.0000000000,0.0000000000,0.0551360000,0.0000000000
32,12,88,1,13,0,13,0,2,14,36,0,0,0.0187845007,1.0673585134,1.0000000000,0.0000000000,0.0000000000,0.0300160000,0.0000000000
33,10,90,2,12,0,12,0,2,14,42,0,0,0.0359538423,1.0314046711,1.0000000000,0.0000000000,0.0000000000,0.0300160000,0.0000000000
34,10,90,1,10,6,4,0,2,11,27,6,6,0.2521948766,0.7792097944,10.0000000000,17.1314592812,0.6000000000,0.0796480000,175.9742868622
35,9,91,1,10,0,10,0,2,11,27,0,0,0.0218212914,0.7573885031,1.0000000000,0.0000000000,0.0000000000,0.0235840000,0.0000000000
36,8,92,1,9,0,9,0,2,10,24,1,1,0.0654272455,0.6919612576,1.0000000000,0.0000000000,0.0000000000,0.0307840000,0.0000000000
37,8,92,1,8,4,4,0,2,9,21,4,4,0.1605483125,0.5314129451,8.0000000000,16.3526737075,0.5000000000,0.0566720000,164.8785996612
38,8,92,2,8,4,4,0,2,10,26,4,4,0.1384943897,0.3929185554,4.0000000000,14.0165552907,0.5000000000,0.0588160000,158.8683351469
