Node,Death_Round
0,194
1,174
2,167
3,166
4,192
5,194
6,186
7,183
8,198
9,192
10,172
11,192
12,178
13,193
14,194
15,192
16,161
17,171
18,193
19,185
20,198
21,189
22,190
23,194
24,175
25,161
26,181
27,183
28,200
29,198
30,194
31,175
32,193
33,192
34,175
35,194
36,186
37,170
38,183
39,181
40,186
41,183
42,182
43,179
44,199
45,181
46,185
47,191
48,197
49,187
50,189
51,182
52,192
53,191
54,190
55,193
56,183
57,163
58,168
59,179
60,165
61,189
62,193
63,194
64,200
65,177
66,181
67,190
68,183
69,181
70,171
71,165
72,172
73,187
74,194
75,174
76,196
77,182
78,178
79,186
80,177
81,181
82,165
83,187
84,196
85,175
86,186
87,190
88,184
89,193
90,199
91,187
92,192
93,188
94,196
95,169
96,196
97,198
98,195
99,198
