Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,LEACH_Epoch,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,6,100,6,94,0,1,105,782,6,6,0.3028459685,49.6971540315,16.6666666667,12.2885772628,0.0600000000,0.6079680000,30.3173851255
2,100,0,9,100,9,91,0,1,108,1073,9,9,0.4369295164,49.2602245151,11.1111111111,12.2885636752,0.0900000000,0.6600960000,41.8848167539
3,100,0,2,100,2,98,0,1,102,394,2,2,0.1095258364,49.1506986787,50.0000000000,12.2884555636,0.0200000000,0.5435520000,11.3034263511
4,100,0,5,100,5,95,0,1,105,685,5,5,0.2468535082,48.9038451705,20.0000000000,12.2884954761,0.0500000000,0.5956800000,25.7856567284
5,100,0,4,100,4,96,0,1,104,588,4,4,0.2068609196,48.6969842509,25.0000000000,12.2885586905,0.0400000000,0.5783040000,21.2483399734
6,100,0,9,100,9,91,0,1,109,1073,9,9,0.4214195961,48.2755646548,11.1111111111,12.2884713658,0.0900000000,0.6651840000,41.5644393130
7,100,0,3,100,3,97,0,1,103,491,3,3,0.1563675449,48.1191971099,33.3333333333,12.2885293455,0.0300000000,0.5609280000,16.4299161390
8,100,0,4,100,4,96,0,1,104,588,4,4,0.2073243467,47.9118727632,25.0000000000,12.2885775046,0.0400000000,0.5783040000,21.2483399734
9,100,0,4,100,4,96,0,1,104,588,4,4,0.1984183085,47.7134544547,25.0000000000,12.2884504465,0.0400000000,0.5783040000,21.2483399734
10,100,0,4,100,4,96,0,1,104,588,4,4,0.2050086091,47.5084458456,25.0000000000,12.2885557630,0.0400000000,0.5783040000,21.2483399734
11,100,0,10,100,10,90,0,1,110,1170,10,10,0.4680564197,47.0403894260,10.0000000000,12.2884817724,0.1000000000,0.6825600000,45.0070323488
12,100,0,3,100,3,97,0,1,103,491,3,3,0.1570378883,46.8833515377,33.3333333333,12.2885337908,0.0300000000,0.5609280000,16.4299161390
13,100,0,8,100,8,92,0,1,108,976,8,8,0.3777984920,46.5055530457,12.5000000000,12.2884703556,0.0800000000,0.6478080000,37.9371665679
14,100,0,7,100,7,93,0,1,107,879,7,7,0.3462766642,46.1592763815,14.2857142857,12.2885719610,0.0700000000,0.6304320000,34.1099436577
15,100,0,6,100,6,94,0,1,106,782,6,6,0.2882355746,45.8710408069,16.6666666667,12.2884826082,0.0600000000,0.6130560000,30.0657688694
16,100,0,2,100,2,98,0,1,102,394,2,2,0.1143575748,45.7566832321,50.0000000000,12.2885661630,0.0200000000,0.5435520000,11.3034263511
