Node,Death_Round
0,1227
1,864
2,820
3,835
4,1129
5,1279
6,984
7,909
8,981
9,1269
10,803
11,930
12,851
13,896
14,983
15,903
16,805
17,820
18,961
19,1213
20,1063
21,947
22,989
23,960
24,819
25,889
26,1055
27,1066
28,952
29,1283
30,1023
31,819
32,898
33,882
34,841
35,1069
36,1113
37,851
38,945
39,902
40,1015
41,902
42,1208
43,912
44,1175
45,877
46,1120
47,1183
48,1014
49,1184
50,1126
51,1040
52,954
53,1197
54,1089
55,1236
56,935
57,807
58,863
59,821
60,831
61,998
62,916
63,915
64,905
65,814
66,920
67,1161
68,963
69,1147
70,855
71,828
72,888
73,1093
74,904
75,850
76,1047
77,1215
78,847
79,921
80,873
81,898
82,840
83,960
84,1126
85,827
86,1235
87,1154
88,1187
89,937
90,1039
91,927
92,1034
93,1211
94,1082
95,798
96,1000
97,1076
98,998
99,970
