Node,Death_Round
0,1189
1,842
2,805
3,813
4,1128
5,1204
6,931
7,917
8,929
9,1233
10,791
11,913
12,860
13,896
14,983
15,889
16,786
17,802
18,931
19,1180
20,1073
21,928
22,960
23,934
24,798
25,845
26,1067
27,1009
28,947
29,1266
30,987
31,799
32,893
33,858
34,822
35,1079
36,1094
37,825
38,930
39,895
40,989
41,889
42,1185
43,879
44,1148
45,892
46,1097
47,1161
48,992
49,1152
50,1113
51,1024
52,967
53,1178
54,1078
55,1214
56,881
57,802
58,856
59,830
60,819
61,974
62,920
63,933
64,889
65,801
66,890
67,1174
68,919
69,1129
70,850
71,821
72,871
73,1079
74,900
75,830
76,1010
77,1187
78,836
79,892
80,844
81,864
82,830
83,924
84,1083
85,830
86,1222
87,1154
88,1125
89,911
90,1009
91,909
92,1060
93,1179
94,1090
95,789
96,990
97,1057
98,972
99,960
