Node,Death_Round
0,320
1,292
2,275
3,271
4,316
5,320
6,287
7,283
8,284
9,320
10,267
11,293
12,294
13,289
14,292
15,282
16,265
17,277
18,282
19,306
20,312
21,283
22,283
23,298
24,269
25,291
26,314
27,307
28,292
29,313
30,308
31,295
32,299
33,296
34,300
35,310
36,314
37,289
38,295
39,289
40,288
41,289
42,303
43,282
44,303
45,291
46,301
47,306
48,298
49,313
50,302
51,307
52,305
53,306
54,303
55,317
56,300
57,264
58,281
59,282
60,265
61,291
62,290
63,295
64,283
65,282
66,297
67,307
68,285
69,307
70,289
71,280
72,289
73,305
74,281
75,288
76,290
77,311
78,281
79,289
80,291
81,282
82,280
83,299
84,299
85,281
86,318
87,319
88,319
89,295
90,299
91,300
92,298
93,311
94,304
95,265
96,299
97,315
98,298
99,286
