Node,Death_Round
0,218
1,201
2,195
3,190
4,213
5,214
6,220
7,198
8,191
9,214
10,187
11,183
12,190
13,197
14,213
15,204
16,200
17,181
18,197
19,215
20,215
21,198
22,201
23,215
24,182
25,196
26,210
27,209
28,207
29,205
30,211
31,193
32,214
33,202
34,187
35,206
36,216
37,198
38,219
39,198
40,217
41,195
42,209
43,203
44,206
45,211
46,201
47,218
48,213
49,209
50,214
51,215
52,201
53,202
54,202
55,220
56,195
57,181
58,185
59,191
60,200
61,202
62,197
63,201
64,185
65,200
66,186
67,214
68,196
69,213
70,192
71,182
72,186
73,213
74,211
75,194
76,207
77,215
78,199
79,203
80,190
81,190
82,191
83,192
84,204
85,187
86,216
87,220
88,206
89,215
90,208
91,206
92,218
93,206
94,208
95,194
96,211
97,217
98,212
99,214
