Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,LEACH_Epoch,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,6,100,100,0,0,1,105,782,100,100,0.2738024760,49.7261975240,16.6666666667,16.3276520807,1.0000000000,0.9692800000,217.0683393859
2,100,0,9,100,100,0,0,1,108,1073,100,100,0.3889697856,49.3372277384,11.1111111111,16.0751598906,1.0000000000,0.9729280000,216.2544402052
3,100,0,2,100,100,0,0,1,102,394,100,100,0.1093293131,49.2278984254,50.0000000000,16.6642713214,1.0000000000,0.9656320000,217.8883881230
4,100,0,5,100,100,0,0,1,105,685,100,100,0.2264464495,49.0014519758,20.0000000000,16.4117934336,1.0000000000,0.9692800000,217.0683393859
5,100,0,4,100,100,0,0,1,104,588,100,100,0.1916037150,48.8098482608,25.0000000000,16.4959905863,1.0000000000,0.9680640000,217.3410022478
6,100,0,9,100,100,0,0,1,109,1073,100,100,0.3782489813,48.4315992795,11.1111111111,16.0751160268,1.0000000000,0.9741440000,215.9844951054
7,100,0,3,100,100,0,0,1,103,491,100,100,0.1487793764,48.2828199031,33.3333333333,16.5801321860,1.0000000000,0.9668480000,217.6143509631
8,100,0,4,100,100,0,0,1,104,588,100,100,0.1918217720,48.0909981311,25.0000000000,16.4959756482,1.0000000000,0.9680640000,217.3410022478
9,100,0,4,100,100,0,0,1,104,588,100,100,0.1865838387,47.9044142925,25.0000000000,16.4959508167,1.0000000000,0.9680640000,217.3410022478
10,100,0,4,100,100,0,0,1,104,588,100,100,0.1904580245,47.7139562680,25.0000000000,16.4959953000,1.0000000000,0.9680640000,217.3410022478
11,100,0,10,100,100,0,0,1,110,1170,100,100,0.4183394084,47.2956168596,10.0000000000,15.9909498969,1.0000000000,0.9753600000,215.7152230971
