Node,Death_Round
0,2349
1,2359
2,2341
3,2363
4,2354
5,2350
6,2363
7,2345
8,2295
9,2359
10,2364
11,2357
12,2355
13,2345
14,2365
15,2363
16,2360
17,2362
18,2351
19,2357
20,2365
21,2342
22,2362
23,2360
24,2310
25,2358
26,2363
27,2313
28,2352
29,2309
30,2359
31,2362
32,2333
33,2328
34,3504
35,2359
36,2359
37,2349
38,2367
39,2260
40,2360
41,2366
42,2743
43,2356
44,2283
45,2329
46,2040
47,2343
48,2358
49,2315
50,2358
51,2346
52,2346
53,2371
54,2348
55,2359
56,2344
57,2359
58,2327
59,2327
60,2359
61,2353
62,2351
63,2361
64,2364
65,2359
66,2357
67,2329
68,2364
69,2338
70,2355
71,2297
72,2341
73,1324
74,2220
75,2356
76,2358
77,2208
78,2363
79,2363
80,2343
81,2356
82,2043
83,2339
84,2343
85,2363
86,2348
87,2298
88,2302
89,2346
90,2337
91,2358
92,2341
93,2363
94,1790
95,2360
96,2344
97,2350
98,2316
99,2333
