Node,Death_Round
0,1672
1,1680
2,1670
3,1682
4,1677
5,1674
6,1682
7,1671
8,1638
9,1681
10,1683
11,1678
12,1677
13,1671
14,1682
15,1683
16,1681
17,1682
18,1675
19,1679
20,1684
21,1669
22,1683
23,1681
24,1647
25,1680
26,1683
27,1649
28,1676
29,1646
30,1681
31,1682
32,1663
33,1662
34,2514
35,1680
36,1680
37,1673
38,1685
39,1616
40,1680
41,1685
42,1974
43,1678
44,1636
45,1659
46,1498
47,1669
48,1680
49,1650
50,1681
51,1671
52,1671
53,1689
54,1672
55,1680
56,1670
57,1682
58,1658
59,1659
60,1679
61,1676
62,1674
63,1682
64,1683
65,1680
66,1678
67,1662
68,1682
69,1667
70,1677
71,1639
72,1668
73,981
74,1589
75,1676
76,1679
77,1585
78,1681
79,1684
80,1669
81,1679
82,1470
83,1667
84,1669
85,1681
86,1673
87,1640
88,1643
89,1672
90,1666
91,1680
92,1669
93,1683
94,1310
95,1681
96,1671
97,1674
98,1652
99,1664
