Round,Alive,Dead,ChainLength,Leader,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,ChainRebuilt
1,100,0,100,0,100,100,0,100,100,0.0245096741,40.9754903259,841.6029675652,1.0000000000,0.8416000000,250.0000000000,0
2,100,0,100,1,100,100,0,100,100,0.0245159406,40.9509743853,841.6029765787,1.0000000000,0.8416000000,250.0000000000,0
3,100,0,100,2,100,100,0,100,100,0.0244929788,40.9264814065,841.6029409729,1.0000000000,0.8416000000,250.0000000000,0
4,100,0,100,3,100,100,0,100,100,0.0244870362,40.9019943703,841.6029303093,1.0000000000,0.8416000000,250.0000000000,0
5,100,0,100,4,100,100,0,100,100,0.0244773443,40.8775170260,841.6029109412,1.0000000000,0.8416000000,250.0000000000,0
6,100,0,100,5,100,100,0,100,100,0.0245284552,40.8529885708,841.6029933957,1.0000000000,0.8416000000,250.0000000000,0
7,100,0,100,6,100,100,0,100,100,0.0244602566,40.8285283142,841.6028657557,1.0000000000,0.8416000000,250.0000000000,0
8,100,0,100,7,100,100,0,100,100,0.0244722190,40.8040560952,841.6028993391,1.0000000000,0.8416000000,250.0000000000,0
9,100,0,100,8,100,100,0,100,100,0.0244846334,40.7795714618,841.6029257626,1.0000000000,0.8416000000,250.0000000000,0
10,100,0,100,9,100,100,0,100,100,0.0245157774,40.7550556844,841.6029763494,1.0000000000,0.8416000000,250.0000000000,0
11,100,0,100,10,100,100,0,100,100,0.0245077350,40.7305479493,841.6029646829,1.0000000000,0.8416000000,250.0000000000,0
12,100,0,100,11,100,100,0,100,100,0.0244605144,40.7060874350,841.6028666316,1.0000000000,0.8416000000,250.0000000000,0
13,100,0,100,12,100,100,0,100,100,0.0245011508,40.6815862842,841.6029545223,1.0000000000,0.8416000000,250.0000000000,0
14,100,0,100,13,100,100,0,100,100,0.0244677334,40.6571185508,841.6028880824,1.0000000000,0.8416000000,250.0000000000,0
15,100,0,100,14,100,100,0,100,100,0.0244548317,40.6326637191,841.6028442120,1.0000000000,0.8416000000,250.0000000000,0
16,100,0,100,15,100,100,0,100,100,0.0244755481,40.6081881709,841.6029070046,1.0000000000,0.8416000000,250.0000000000,0
17,100,0,100,16,100,100,0,100,100,0.0245043260,40.5836838450,841.6029594975,1.0000000000,0.8416000000,250.0000000000,0
18,100,0,100,17,100,100,0,100,100,0.0245074911,40.5591763539,841.6029643169,1.0000000000,0.8416000000,250.0000000000,0
19,100,0,100,18,100,100,0,100,100,0.0245015355,40.5346748184,841.6029551330,1.0000000000,0.8416000000,250.0000000000,0
20,100,0,100,19,100,100,0,100,100,0.0245026366,40.5101721818,841.6029568688,1.0000000000,0.8416000000,250.0000000000,0
21,100,0,100,20,100,100,0,100,100,0.0244665107,40.4857056711,841.6028847860,1.0000000000,0.8416000000,250.0000000000,0
22,100,0,100,21,100,100,0,100,100,0.0244573526,40.4612483185,841.6028550956,1.0000000000,0.8416000000,250.0000000000,0
23,100,0,100,22,100,100,0,100,100,0.0244545107,40.4367938078,841.6028426692,1.0000000000,0.8416000000,250.0000000000,0
24,100,0,100,23,100,100,0,100,100,0.0244637947,40.4123300131,841.6028770256,1.0000000000,0.8416000000,250.0000000000,0
25,100,0,100,24,100,100,0,100,100,0.0244927601,40.3878372530,841.6029405937,1.0000000000,0.8416000000,250.0000000000,0
26,100,0,100,25,100,100,0,100,100,0.0245204506,40.3633168024,841.6029828070,1.0000000000,0.8416000000,250.0000000000,0
27,100,0,100,26,100,100,0,100,100,0.0244603429,40.3388564595,841.6028660500,1.0000000000,0.8416000000,250.0000000000,0
28,100,0,100,27,100,100,0,100,100,0.0245010569,40.3143554026,841.6029543729,1.0000000000,0.8416000000,250.0000000000,0
29,100,0,100,28,100,100,0,100,100,0.0244641123,40.2898912903,841.6028779678,1.0000000000,0.8416000000,250.0000000000,0
30,100,0,100,29,100,100,0,100,100,0.0244986502,40.2653926401,841.6029504967,1.0000000000,0.8416000000,250.0000000000,0
31,100,0,100,30,100,100,0,100,100,0.0244670789,40.2409255612,841.6028863317,1.0000000000,0.8416000000,250.0000000000,0
32,100,0,100,31,100,100,0,100,100,0.0245079107,40.2164176505,841.6029649460,1.0000000000,0.8416000000,250.0000000000,0
33,100,0,100,32,100,100,0,100,100,0.0244941885,40.1919234620,841.6029430535,1.0000000000,0.8416000000,250.0000000000,0
34,100,0,100,33,100,100,0,100,100,0.0245056309,40.1674178311,841.6029615008,1.0000000000,0.8416000000,250.0000000000,0
35,100,0,100,34,100,100,0,100,100,0.0245304084,40.1428874227,841.6029958975,1.0000000000,0.8416000000,250.0000000000,0
36,100,0,100,35,100,100,0,100,100,0.0244561714,40.1184312513,841.6028502353,1.0000000000,0.8416000000,250.0000000000,0
37,100,0,100,36,100,100,0,100,100,0.0244699427,40.0939613086,841.6028937772,1.0000000000,0.8416000000,250.0000000000,0
38,100,0,100,37,100,100,0,100,100,0.0245190161,40.0694422925,841.6029808478,1.0000000000,0.8416000000,250.0000000000,0
39,100,0,100,38,100,100,0,100,100,0.0244762741,40.0449660185,841.6029086111,1.0000000000,0.8416000000,250.0000000000,0
40,100,0,100,39,100,100,0,100,100,0.0244628571,40.0205031614,841.6028741835,1.0000000000,0.8416000000,250.0000000000,0
41,100,0,100,40,100,100,0,100,100,0.0244582816,39.9960448797,841.6028586822,1.0000000000,0.8416000000,250.0000000000,0
42,100,0,100,41,100,100,0,100,100,0.0244567789,39.9715881008,841.6028527809,1.0000000000,0.8416000000,250.0000000000,0
43,100,0,100,42,100,100,0,100,100,0.0245279212,39.9470601796,841.6029927065,1.0000000000,0.8416000000,250.0000000000,0
44,100,0,100,43,100,100,0,100,100,0.0245035797,39.9225565999,841.6029583413,1.0000000000,0.8416000000,250.0000000000,0
45,100,0,100,44,100,100,0,100,100,0.0245047001,39.8980518998,841.6029600743,1.0000000000,0.8416000000,250.0000000000,0
