Node,Death_Round
0,1001
1,1002
2,1003
3,1004
4,1005
5,1006
6,1007
7,1008
8,997
9,1009
10,1010
11,1011
12,1012
13,1013
14,1014
15,1015
16,1016
17,1017
18,1018
19,1019
20,1020
21,1016
22,1021
23,1022
24,1003
25,1023
26,1024
27,1004
28,1020
29,1003
30,1023
31,1025
32,1013
33,1015
34,1031
35,1023
36,1024
37,1019
38,1026
39,983
40,1023
41,1026
42,1665
43,1022
44,1016
45,1010
46,972
47,1018
48,1023
49,1005
50,1024
51,1017
52,1018
53,1020
54,1019
55,1024
56,1016
57,1019
58,1009
59,1010
60,1023
61,1020
62,1019
63,1023
64,1025
65,1023
66,1022
67,1024
68,1025
69,1019
70,1023
71,998
72,1016
73,760
74,879
75,975
76,977
77,1005
78,1025
79,1025
80,1016
81,1016
82,980
83,984
84,1016
85,1023
86,1019
87,998
88,1000
89,1018
90,1014
91,1023
92,1015
93,1025
94,926
95,996
96,1017
97,1019
98,1005
99,1012
