Node,Death_Round
0,1098
1,1100
2,1097
3,1102
4,1100
5,1098
6,1102
7,1097
8,1084
9,1101
10,1102
11,1099
12,1101
13,1097
14,1103
15,1101
16,1100
17,1101
18,1100
19,1100
20,1101
21,1097
22,1101
23,1100
24,1088
25,1100
26,1102
27,1089
28,1098
29,1088
30,1100
31,1101
32,1094
33,1093
34,1682
35,1100
36,1101
37,1098
38,1103
39,1076
40,1101
41,1102
42,1396
43,1099
44,1096
45,1093
46,1069
47,1096
48,1101
49,1090
50,1102
51,1097
52,1097
53,1104
54,1097
55,1100
56,1096
57,1100
58,1092
59,1093
60,1100
61,1099
62,1098
63,1101
64,1103
65,1100
66,1099
67,1097
68,1102
69,1099
70,1101
71,1085
72,1096
73,785
74,1066
75,1098
76,1101
77,1077
78,1101
79,1101
80,1096
81,1099
82,1021
83,1095
84,1096
85,1102
86,1097
87,1086
88,1087
89,1096
90,1096
91,1100
92,1097
93,1102
94,978
95,1100
96,1097
97,1099
98,1090
99,1094
