Node,Death_Round
0,1844
1,1852
2,1840
3,1854
4,1849
5,1846
6,1854
7,1842
8,1806
9,1851
10,1855
11,1850
12,1850
13,1841
14,1856
15,1855
16,1852
17,1854
18,1848
19,1850
20,1856
21,1841
22,1854
23,1852
24,1816
25,1851
26,1855
27,1818
28,1846
29,1816
30,1852
31,1854
32,1833
33,1830
34,2776
35,1851
36,1852
37,1844
38,1857
39,1781
40,1852
41,1857
42,2174
43,1850
44,1808
45,1830
46,1645
47,1840
48,1850
49,1821
50,1852
51,1842
52,1843
53,1860
54,1844
55,1853
56,1841
57,1852
58,1828
59,1829
60,1852
61,1847
62,1846
63,1854
64,1857
65,1852
66,1850
67,1833
68,1857
69,1837
70,1850
71,1807
72,1839
73,1081
74,1752
75,1849
76,1851
77,1748
78,1854
79,1854
80,1840
81,1849
82,1623
83,1838
84,1840
85,1855
86,1844
87,1808
88,1811
89,1843
90,1837
91,1851
92,1839
93,1855
94,1442
95,1852
96,1841
97,1846
98,1821
99,1833
