Node,Death_Round
0,1473
1,1479
2,1471
3,1481
4,1477
5,1475
6,1481
7,1471
8,1442
9,1480
10,1482
11,1478
12,1478
13,1472
14,1482
15,1482
16,1480
17,1481
18,1475
19,1479
20,1482
21,1469
22,1482
23,1480
24,1450
25,1480
26,1483
27,1452
28,1475
29,1450
30,1480
31,1481
32,1464
33,1464
34,2226
35,1479
36,1479
37,1474
38,1483
39,1423
40,1479
41,1483
42,1735
43,1477
44,1441
45,1460
46,1317
47,1469
48,1480
49,1454
50,1481
51,1471
52,1471
53,1486
54,1473
55,1479
56,1470
57,1482
58,1460
59,1461
60,1479
61,1476
62,1474
63,1480
64,1482
65,1479
66,1477
67,1464
68,1483
69,1468
70,1476
71,1443
72,1469
73,863
74,1399
75,1475
76,1478
77,1396
78,1480
79,1481
80,1470
81,1478
82,1295
83,1468
84,1469
85,1481
86,1473
87,1444
88,1447
89,1472
90,1467
91,1479
92,1470
93,1482
94,1153
95,1480
96,1471
97,1474
98,1455
99,1465
