Node,Death_Round
0,2040
1,2049
2,2035
3,2051
4,2045
5,2042
6,2050
7,2037
8,1998
9,2047
10,2052
11,2046
12,2045
13,2038
14,2053
15,2052
16,2049
17,2051
18,2043
19,2047
20,2055
21,2035
22,2051
23,2050
24,2009
25,2048
26,2051
27,2011
28,2042
29,2009
30,2048
31,2051
32,2028
33,2024
34,3077
35,2049
36,2049
37,2041
38,2055
39,1970
40,2049
41,2053
42,2403
43,2046
44,1999
45,2025
46,1825
47,2036
48,2048
49,2014
50,2049
51,2038
52,2039
53,2058
54,2039
55,2050
56,2037
57,2050
58,2023
59,2023
60,2049
61,2044
62,2042
63,2051
64,2054
65,2048
66,2047
67,2026
68,2053
69,2032
70,2045
71,1999
72,2034
73,1196
74,1938
75,2046
76,2049
77,1931
78,2051
79,2051
80,2035
81,2047
82,1792
83,2033
84,2035
85,2051
86,2039
87,2000
88,2003
89,2038
90,2030
91,2048
92,2034
93,2052
94,1598
95,2049
96,2036
97,2041
98,2014
99,2028
