Node,Death_Round
0,1223
1,1228
2,1223
3,1230
4,1226
5,1224
6,1229
7,1221
8,1209
9,1229
10,1230
11,1227
12,1226
13,1222
14,1229
15,1230
16,1229
17,1229
18,1227
19,1228
20,1230
21,1223
22,1229
23,1229
24,1225
25,1227
26,1230
27,1228
28,1229
29,1230
30,1231
31,1232
32,1233
33,1234
34,1296
35,1236
36,1237
37,1238
38,1239
39,1240
40,1241
41,1242
42,2008
43,1244
44,1245
45,1246
46,1204
47,1247
48,1248
49,1249
50,1250
51,1251
52,1252
53,1253
54,1254
55,1255
56,1256
57,1257
58,1258
59,1259
60,1260
61,1261
62,1262
63,1263
64,1264
65,1265
66,1266
67,1267
68,1268
69,1269
70,1270
71,1261
72,1271
73,874
74,1164
75,1176
76,1272
77,1246
78,1273
79,1274
80,1275
81,1276
82,1183
83,1277
84,1278
85,1279
86,1280
87,1261
88,1264
89,1281
90,1279
91,1282
92,1283
93,1284
94,1100
95,1231
96,1285
97,1286
98,1270
99,1280
