Node,Death_Round
0,1039
1,1044
2,1038
3,1046
4,1042
5,1040
6,1044
7,1038
8,1017
9,1044
10,1046
11,1043
12,1042
13,1039
14,1045
15,1045
16,1044
17,1045
18,1043
19,1043
20,1046
21,1039
22,1044
23,1044
24,1025
25,1043
26,1045
27,1028
28,1041
29,1030
30,1044
31,1045
32,1033
33,1036
34,1101
35,1044
36,1044
37,1040
38,1046
39,1040
40,1045
41,1046
42,1705
43,1044
44,1045
45,1046
46,1047
47,1048
48,1049
49,1050
50,1051
51,1052
52,1053
53,1054
54,1055
55,1056
56,1057
57,1058
58,1059
59,1060
60,1061
61,1062
62,1063
63,1064
64,1065
65,1066
66,1067
67,1068
68,1069
69,1070
70,1071
71,1072
72,1073
73,774
74,975
75,1074
76,1075
77,1076
78,1077
79,1078
80,1079
81,1080
82,995
83,1081
84,1082
85,1083
86,1084
87,1085
88,1086
89,1087
90,1088
91,1089
92,1090
93,1091
94,987
95,1045
96,1092
97,1093
98,1094
99,1095
