Round,Alive,Dead,ChainLength,Leader,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,ChainRebuilt
1,100,0,100,0,100,100,0,100,100,4.4649122617,45.5350877383,934.4029675652,1.0000000000,0.9344000000,250.0000000000,0
2,100,0,100,1,100,100,0,100,100,4.4649192192,41.0701685191,934.4029765787,1.0000000000,0.9344000000,250.0000000000,0
3,100,0,100,2,100,100,0,100,100,4.4648937255,36.6052747935,934.4029409729,1.0000000000,0.9344000000,250.0000000000,0
4,100,0,100,3,100,100,0,100,100,4.4648871277,32.1403876658,934.4029303093,1.0000000000,0.9344000000,250.0000000000,0
5,100,0,100,4,100,100,0,100,100,4.4648763671,27.6755112988,934.4029109412,1.0000000000,0.9344000000,250.0000000000,0
6,100,0,100,5,100,100,0,100,100,4.4649331137,23.2105781851,934.4029933957,1.0000000000,0.9344000000,250.0000000000,0
7,100,0,100,6,100,100,0,100,100,4.4648573952,18.7457207899,934.4028657557,1.0000000000,0.9344000000,250.0000000000,0
8,100,0,100,7,100,100,0,100,100,4.4648706766,14.2808501133,934.4028993391,1.0000000000,0.9344000000,250.0000000000,0
9,100,0,100,8,100,100,0,100,100,4.4648844599,9.8159656534,934.4029257626,1.0000000000,0.9344000000,250.0000000000,0
10,100,0,100,9,100,100,0,100,100,4.4649190380,5.3510466154,934.4029763494,1.0000000000,0.9344000000,250.0000000000,0
11,90,10,100,10,100,0,100,90,90,4.1023369281,1.2487096873,0.0000000000,0.0000000000,0.8409600000,0.0000000000,1
12,10,90,90,11,90,0,90,0,0,0.7355320299,0.5131776574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
13,2,98,10,24,10,0,10,0,0,0.0963652073,0.4168124500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
14,2,98,2,34,2,2,0,2,2,0.0680936596,0.3487187905,18.6886190186,1.0000000000,0.0186880000,250.0000000000,0
15,2,98,2,34,2,2,0,2,2,0.0680936596,0.2806251309,18.6886190186,1.0000000000,0.0186880000,250.0000000000,0
16,2,98,2,34,2,2,0,2,2,0.0680936596,0.2125314713,18.6886190186,1.0000000000,0.0186880000,250.0000000000,0
17,2,98,2,34,2,2,0,2,2,0.0680936596,0.1444378118,18.6886190186,1.0000000000,0.0186880000,250.0000000000,0
18,1,99,2,34,2,0,2,1,1,0.0517038536,0.0927339582,0.0000000000,0.0000000000,0.0093440000,0.0000000000,1
19,1,99,1,-1,1,1,0,1,1,0.0225161557,0.0702178025,9.3442042123,1.0000000000,0.0093440000,250.0000000000,0
20,1,99,1,-1,1,1,0,1,1,0.0225161557,0.0477016468,9.3442042123,1.0000000000,0.0093440000,250.0000000000,0
21,1,99,1,-1,1,1,0,1,1,0.0225161557,0.0251854912,9.3442042123,1.0000000000,0.0093440000,250.0000000000,0
22,1,99,1,-1,1,1,0,1,1,0.0225161557,0.0026693355,9.3442042123,1.0000000000,0.0093440000,250.0000000000,0
23,0,100,1,-1,1,0,1,0,0,0.0026693355,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0
