Node,Death_Round
0,1
1,2
2,1
3,1
4,1
5,3
6,4
7,1
8,1
9,1
10,1
11,1
12,4
13,2
14,4
15,2
16,3
17,1
18,1
19,4
20,1
21,2
22,2
23,1
24,2
25,1
26,5
27,2
28,3
29,1
30,2
31,2
32,2
33,3
34,6
35,1
36,1
37,2
38,1
39,1
40,1
41,1
42,3
43,1
44,7
45,1
46,1
47,2
48,1
49,1
50,1
51,1
52,1
53,1
54,3
55,2
56,14
57,2
58,3
59,1
60,1
61,2
62,1
63,4
64,3
65,1
66,1
67,2
68,1
69,1
70,1
71,1
72,3
73,2
74,3
75,1
76,3
77,2
78,2
79,2
80,1
81,1
82,1
83,1
84,2
85,4
86,1
87,2
88,3
89,2
90,1
91,2
92,1
93,1
94,1
95,5
96,2
97,6
98,5
99,1
