Round,Alive,Dead,ChainLength,Leader,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,ChainRebuilt
1,50,50,100,0,100,0,100,0,0,26.7930734099,23.2069265901,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
2,25,75,50,1,50,0,50,0,0,12.4998056020,10.7071209881,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
3,13,87,25,5,25,0,25,0,0,5.5699250591,5.1371959290,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
4,7,93,13,6,13,0,13,0,0,2.5699602554,2.5672356736,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
5,4,96,7,26,7,0,7,0,0,1.2133879150,1.3538477586,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
6,2,98,4,34,4,0,4,0,0,0.7488755872,0.6049721713,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
7,1,99,2,44,2,0,2,0,0,0.3562622051,0.2487099662,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
8,1,99,1,-1,1,1,0,1,1,0.0358560353,0.2128539309,12.2880296785,1.0000000000,0.0122880000,250.0000000000,0
9,1,99,1,-1,1,1,0,1,1,0.0358560353,0.1769978957,12.2880296785,1.0000000000,0.0122880000,250.0000000000,0
10,1,99,1,-1,1,1,0,1,1,0.0358560353,0.1411418604,12.2880296785,1.0000000000,0.0122880000,250.0000000000,0
11,1,99,1,-1,1,1,0,1,1,0.0358560353,0.1052858251,12.2880296785,1.0000000000,0.0122880000,250.0000000000,0
12,1,99,1,-1,1,1,0,1,1,0.0358560353,0.0694297898,12.2880296785,1.0000000000,0.0122880000,250.0000000000,0
13,1,99,1,-1,1,1,0,1,1,0.0358560353,0.0335737545,12.2880296785,1.0000000000,0.0122880000,250.0000000000,0
14,0,100,1,-1,1,0,1,0,0,0.0335737545,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0
