Node,Death_Round
0,1977
1,1986
2,1974
3,1988
4,1982
5,1979
6,1988
7,1975
8,1936
9,1988
10,1989
11,1984
12,1982
13,1975
14,1988
15,1990
16,1986
17,1988
18,1980
19,1984
20,1990
21,1972
22,1988
23,1987
24,1947
25,1985
26,1989
27,1949
28,1980
29,1946
30,1986
31,1988
32,1966
33,1961
34,2982
35,1985
36,1986
37,1979
38,1991
39,1909
40,1986
41,1991
42,2330
43,1983
44,1938
45,1961
46,1760
47,1973
48,1986
49,1951
50,1986
51,1975
52,1976
53,1995
54,1976
55,1986
56,1973
57,1987
58,1959
59,1960
60,1986
61,1981
62,1979
63,1986
64,1990
65,1985
66,1984
67,1965
68,1989
69,1969
70,1982
71,1937
72,1972
73,1158
74,1877
75,1981
76,1984
77,1877
78,1987
79,1988
80,1973
81,1983
82,1741
83,1970
84,1972
85,1986
86,1977
87,1938
88,1942
89,1976
90,1968
91,1985
92,1973
93,1989
94,1548
95,1986
96,1975
97,1979
98,1952
99,1966
