Node,Death_Round
0,1950
1,1957
2,1944
3,1961
4,1953
5,1951
6,1959
7,1946
8,1909
9,1957
10,1961
11,1955
12,1954
13,1945
14,1961
15,1960
16,1958
17,1959
18,1953
19,1954
20,1960
21,1945
22,1960
23,1958
24,1920
25,1956
26,1962
27,1922
28,1951
29,1919
30,1957
31,1959
32,1937
33,1934
34,2938
35,1957
36,1958
37,1950
38,1964
39,1882
40,1957
41,1963
42,2298
43,1955
44,1910
45,1934
46,1743
47,1945
48,1956
49,1924
50,1957
51,1947
52,1949
53,1967
54,1948
55,1956
56,1945
57,1958
58,1932
59,1933
60,1958
61,1953
62,1951
63,1959
64,1962
65,1957
66,1955
67,1936
68,1962
69,1942
70,1954
71,1910
72,1944
73,1141
74,1851
75,1954
76,1957
77,1846
78,1960
79,1959
80,1945
81,1955
82,1713
83,1942
84,1945
85,1960
86,1948
87,1910
88,1914
89,1947
90,1940
91,1956
92,1944
93,1960
94,1526
95,1957
96,1945
97,1951
98,1924
99,1937
