Node,Death_Round
0,801
1,802
2,803
3,804
4,805
5,806
6,807
7,808
8,809
9,810
10,811
11,812
12,813
13,814
14,815
15,816
16,817
17,818
18,819
19,820
20,821
21,822
22,823
23,824
24,825
25,826
26,827
27,828
28,829
29,830
30,831
31,832
32,833
33,834
34,882
35,836
36,837
37,838
38,839
39,840
40,841
41,842
42,1229
43,844
44,845
45,846
46,847
47,848
48,849
49,850
50,851
51,852
52,853
53,854
54,855
55,856
56,857
57,858
58,859
59,860
60,861
61,862
62,863
63,864
64,865
65,866
66,867
67,868
68,869
69,870
70,871
71,858
72,872
73,674
74,775
75,873
76,874
77,863
78,875
79,876
80,873
81,877
82,783
83,872
84,873
85,878
86,876
87,858
88,858
89,874
90,871
91,879
92,871
93,878
94,795
95,860
96,874
97,877
98,864
99,868
