Round,Alive,Dead,ChainLength,Leader,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,ChainRebuilt
1,100,0,100,0,100,100,0,100,100,0.0602096741,49.9397903259,841.6029675652,1.0000000000,0.8416000000,250.0000000000,0
2,100,0,100,1,100,100,0,100,100,0.0602159406,49.8795743853,841.6029765787,1.0000000000,0.8416000000,250.0000000000,0
3,100,0,100,2,100,100,0,100,100,0.0601929788,49.8193814065,841.6029409729,1.0000000000,0.8416000000,250.0000000000,0
4,100,0,100,3,100,100,0,100,100,0.0601870362,49.7591943703,841.6029303093,1.0000000000,0.8416000000,250.0000000000,0
5,100,0,100,4,100,100,0,100,100,0.0601773443,49.6990170260,841.6029109412,1.0000000000,0.8416000000,250.0000000000,0
6,100,0,100,5,100,100,0,100,100,0.0602284552,49.6387885708,841.6029933957,1.0000000000,0.8416000000,250.0000000000,0
7,100,0,100,6,100,100,0,100,100,0.0601602566,49.5786283142,841.6028657557,1.0000000000,0.8416000000,250.0000000000,0
8,100,0,100,7,100,100,0,100,100,0.0601722190,49.5184560952,841.6028993391,1.0000000000,0.8416000000,250.0000000000,0
9,100,0,100,8,100,100,0,100,100,0.0601846334,49.4582714618,841.6029257626,1.0000000000,0.8416000000,250.0000000000,0
10,100,0,100,9,100,100,0,100,100,0.0602157774,49.3980556844,841.6029763494,1.0000000000,0.8416000000,250.0000000000,0
11,100,0,100,10,100,100,0,100,100,0.0602077350,49.3378479493,841.6029646829,1.0000000000,0.8416000000,250.0000000000,0
12,100,0,100,11,100,100,0,100,100,0.0601605144,49.2776874350,841.6028666316,1.0000000000,0.8416000000,250.0000000000,0
13,100,0,100,12,100,100,0,100,100,0.0602011508,49.2174862842,841.6029545223,1.0000000000,0.8416000000,250.0000000000,0
14,100,0,100,13,100,100,0,100,100,0.0601677334,49.1573185508,841.6028880824,1.0000000000,0.8416000000,250.0000000000,0
15,100,0,100,14,100,100,0,100,100,0.0601548317,49.0971637191,841.6028442120,1.0000000000,0.8416000000,250.0000000000,0
16,100,0,100,15,100,100,0,100,100,0.0601755481,49.0369881709,841.6029070046,1.0000000000,0.8416000000,250.0000000000,0
17,100,0,100,16,100,100,0,100,100,0.0602043260,48.9767838450,841.6029594975,1.0000000000,0.8416000000,250.0000000000,0
18,100,0,100,17,100,100,0,100,100,0.0602074911,48.9165763539,841.6029643169,1.0000000000,0.8416000000,250.0000000000,0
19,100,0,100,18,100,100,0,100,100,0.0602015355,48.8563748184,841.6029551330,1.0000000000,0.8416000000,250.0000000000,0
20,100,0,100,19,100,100,0,100,100,0.0602026366,48.7961721818,841.6029568688,1.0000000000,0.8416000000,250.0000000000,0
21,100,0,100,20,100,100,0,100,100,0.0601665107,48.7360056711,841.6028847860,1.0000000000,0.8416000000,250.0000000000,0
22,100,0,100,21,100,100,0,100,100,0.0601573526,48.6758483185,841.6028550956,1.0000000000,0.8416000000,250.0000000000,0
23,100,0,100,22,100,100,0,100,100,0.0601545107,48.6156938078,841.6028426692,1.0000000000,0.8416000000,250.0000000000,0
24,100,0,100,23,100,100,0,100,100,0.0601637947,48.5555300131,841.6028770256,1.0000000000,0.8416000000,250.0000000000,0
25,100,0,100,24,100,100,0,100,100,0.0601927601,48.4953372530,841.6029405937,1.0000000000,0.8416000000,250.0000000000,0
26,100,0,100,25,100,100,0,100,100,0.0602204506,48.4351168024,841.6029828070,1.0000000000,0.8416000000,250.0000000000,0
27,100,0,100,26,100,100,0,100,100,0.0601603429,48.3749564595,841.6028660500,1.0000000000,0.8416000000,250.0000000000,0
28,100,0,100,27,100,100,0,100,100,0.0602010569,48.3147554026,841.6029543729,1.0000000000,0.8416000000,250.0000000000,0
29,100,0,100,28,100,100,0,100,100,0.0601641123,48.2545912903,841.6028779678,1.0000000000,0.8416000000,250.0000000000,0
