Node,Death_Round
0,1899
1,1708
2,1674
3,1702
4,1901
5,1915
6,1875
7,1799
8,1780
9,1917
10,1685
11,1779
12,1713
13,1762
14,1869
15,1786
16,1700
17,1695
18,1760
19,1912
20,1879
21,1844
22,1812
23,1824
24,1667
25,1715
26,1884
27,1820
28,1868
29,1898
30,1884
31,1682
32,1733
33,1747
34,1625
35,1850
36,1882
37,1684
38,1767
39,1710
40,1866
41,1811
42,2272
43,1736
44,1886
45,1763
46,1801
47,1911
48,1883
49,1894
50,1877
51,1892
52,1850
53,1945
54,1905
55,1926
56,1822
57,1684
58,1695
59,1655
60,1661
61,1861
62,1861
63,1828
64,1821
65,1697
66,1842
67,1894
68,1869
69,1910
70,1698
71,1659
72,1703
73,1182
74,1669
75,1589
76,1820
77,1801
78,1690
79,1871
80,1724
81,1777
82,1963
83,1814
84,1885
85,1689
86,1908
87,1843
88,1879
89,1766
90,1812
91,1864
92,1883
93,1914
94,1543
95,1695
96,1791
97,1853
98,1762
99,1823
