Node,Death_Round
0,1627
1,1473
2,1429
3,1454
4,1629
5,1647
6,1607
7,1539
8,1524
9,1650
10,1439
11,1520
12,1476
13,1513
14,1612
15,1526
16,1453
17,1447
18,1518
19,1631
20,1614
21,1583
22,1551
23,1569
24,1425
25,1465
26,1621
27,1558
28,1609
29,1625
30,1619
31,1436
32,1500
33,1506
34,1389
35,1595
36,1620
37,1438
38,1532
39,1463
40,1605
41,1550
42,1952
43,1485
44,1623
45,1517
46,1553
47,1644
48,1617
49,1627
50,1614
51,1625
52,1584
53,1653
54,1636
55,1654
56,1560
57,1455
58,1458
59,1416
60,1451
61,1592
62,1594
63,1564
64,1565
65,1466
66,1576
67,1640
68,1602
69,1639
70,1466
71,1420
72,1471
73,1014
74,1424
75,1375
76,1571
77,1537
78,1461
79,1578
80,1481
81,1520
82,1679
83,1561
84,1617
85,1460
86,1638
87,1584
88,1609
89,1512
90,1565
91,1591
92,1611
93,1655
94,1325
95,1457
96,1523
97,1596
98,1509
99,1573
