Node,Death_Round
0,999
1,902
2,903
3,904
4,1000
5,1001
6,979
7,934
8,925
9,1002
10,911
11,929
12,913
13,914
14,984
15,926
16,917
17,918
18,925
19,1003
20,981
21,963
22,942
23,953
24,925
25,926
26,994
27,948
28,977
29,992
30,984
31,932
32,933
33,934
34,929
35,936
36,985
37,938
38,939
39,940
40,984
41,942
42,1009
43,944
44,990
45,946
46,975
47,1001
48,985
49,989
50,982
51,994
52,965
53,1009
54,994
55,1007
56,957
57,958
58,959
59,946
60,960
61,962
62,968
63,964
64,965
65,966
66,967
67,1003
68,974
69,996
70,971
71,949
72,972
73,774
74,876
75,910
76,974
77,976
78,975
79,978
80,979
81,980
82,1016
83,984
84,985
85,975
86,987
87,988
88,989
89,990
90,991
91,992
92,993
93,1008
94,953
95,975
96,995
97,996
98,997
99,998
