Node,Death_Round
0,1084
1,1014
2,1003
3,1007
4,1088
5,1090
6,1073
7,1046
8,1040
9,1091
10,1010
11,1036
12,1016
13,1033
14,1077
15,1041
16,1015
17,1014
18,1027
19,1089
20,1075
21,1064
22,1050
23,1057
24,1004
25,1020
26,1076
27,1053
28,1072
29,1086
30,1077
31,1009
32,1032
33,1033
34,984
35,1070
36,1077
37,1010
38,1038
39,1019
40,1071
41,1050
42,1397
43,1027
44,1078
45,1043
46,1075
47,1087
48,1079
49,1080
50,1076
51,1080
52,1064
53,1091
54,1083
55,1092
56,1057
57,1010
58,1014
59,994
60,1008
61,1068
62,1067
63,1061
64,1058
65,1015
66,1064
67,1081
68,1070
69,1084
70,1014
71,996
72,1021
73,804
74,1002
75,976
76,1071
77,1062
78,1012
79,1073
80,1024
81,1041
82,1167
83,1055
84,1079
85,1013
86,1085
87,1064
88,1075
89,1037
90,1058
91,1072
92,1078
93,1088
94,982
95,1008
96,1049
97,1073
98,1036
99,1061
