Node,Death_Round
0,1798
1,1617
2,1586
3,1603
4,1800
5,1811
6,1774
7,1702
8,1685
9,1814
10,1596
11,1684
12,1620
13,1667
14,1767
15,1689
16,1610
17,1605
18,1665
19,1811
20,1778
21,1744
22,1715
23,1724
24,1578
25,1624
26,1781
27,1722
28,1768
29,1796
30,1783
31,1593
32,1636
33,1651
34,1535
35,1753
36,1781
37,1594
38,1671
39,1618
40,1764
41,1714
42,2149
43,1644
44,1788
45,1668
46,1708
47,1808
48,1782
49,1793
50,1776
51,1791
52,1751
53,1841
54,1802
55,1823
56,1725
57,1595
58,1604
59,1560
60,1589
61,1760
62,1760
63,1730
64,1724
65,1607
66,1743
67,1789
68,1769
69,1810
70,1607
71,1572
72,1626
73,1118
74,1574
75,1507
76,1725
77,1701
78,1601
79,1771
80,1631
81,1681
82,1860
83,1716
84,1785
85,1600
86,1804
87,1744
88,1778
89,1673
90,1713
91,1764
92,1782
93,1810
94,1462
95,1596
96,1695
97,1757
98,1669
99,1725
