Node,Death_Round
0,1435
1,1300
2,1263
3,1283
4,1432
5,1450
6,1414
7,1356
8,1343
9,1453
10,1271
11,1339
12,1303
13,1316
14,1414
15,1345
16,1282
17,1278
18,1321
19,1442
20,1421
21,1395
22,1366
23,1383
24,1257
25,1294
26,1423
27,1372
28,1417
29,1428
30,1427
31,1268
32,1325
33,1327
34,1230
35,1401
36,1427
37,1270
38,1339
39,1291
40,1422
41,1365
42,1721
43,1310
44,1426
45,1338
46,1353
47,1445
48,1424
49,1432
50,1422
51,1432
52,1396
53,1452
54,1440
55,1455
56,1374
57,1270
58,1279
59,1252
60,1261
61,1413
62,1404
63,1378
64,1374
65,1280
66,1388
67,1450
68,1412
69,1443
70,1280
71,1255
72,1281
73,893
74,1263
75,1204
76,1375
77,1359
78,1279
79,1397
80,1301
81,1341
82,1479
83,1376
84,1424
85,1286
86,1444
87,1391
88,1419
89,1334
90,1379
91,1396
92,1423
93,1457
94,1167
95,1286
96,1342
97,1398
98,1332
99,1387
