Node,Death_Round
0,1995
1,1800
2,1749
3,1778
4,1991
5,2002
6,1961
7,1881
8,1862
9,2007
10,1760
11,1860
12,1804
13,1831
14,1956
15,1867
16,1776
17,1770
18,1842
19,2004
20,1967
21,1929
22,1896
23,1918
24,1741
25,1791
26,1965
27,1904
28,1956
29,1986
30,1971
31,1757
32,1832
33,1833
34,1695
35,1938
36,1972
37,1759
38,1848
39,1788
40,1953
41,1894
42,2384
43,1814
44,1974
45,1846
46,1900
47,2000
48,1971
49,1983
50,1965
51,1978
52,1935
53,2033
54,1992
55,2016
56,1906
57,1759
58,1771
59,1728
60,1760
61,1958
62,1946
63,1911
64,1905
65,1772
66,1927
67,1978
68,1957
69,1994
70,1774
71,1732
72,1780
73,1237
74,1736
75,1674
76,1901
77,1877
78,1779
79,1955
80,1802
81,1857
82,2061
83,1897
84,1976
85,1780
86,1988
87,1929
88,1966
89,1847
90,1895
91,1950
92,1972
93,2004
94,1617
95,1781
96,1861
97,1939
98,1843
99,1907
