Node,Death_Round
0,1201
1,1125
2,1103
3,1110
4,1202
5,1204
6,1205
7,1185
8,1174
9,1207
10,1111
11,1179
12,1128
13,1161
14,1208
15,1176
16,1117
17,1118
18,1174
19,1209
20,1210
21,1211
22,1195
23,1209
24,1125
25,1126
26,1212
27,1202
28,1213
29,1214
30,1215
31,1132
32,1147
33,1155
34,1127
35,1179
36,1216
37,1138
38,1172
39,1140
40,1217
41,1194
42,1227
43,1144
44,1228
45,1162
46,1221
47,1229
48,1230
49,1231
50,1232
51,1233
52,1221
53,1234
54,1235
55,1236
56,1202
57,1158
58,1159
59,1147
60,1160
61,1167
62,1227
63,1206
64,1201
65,1166
66,1219
67,1237
68,1235
69,1238
70,1171
71,1150
72,1172
73,894
74,1075
75,1103
76,1174
77,1177
78,1178
79,1180
80,1181
81,1182
82,1244
83,1196
84,1245
85,1182
86,1198
87,1217
88,1240
89,1190
90,1199
91,1230
92,1243
93,1259
94,1105
95,1180
96,1195
97,1197
98,1198
99,1200
