Round,Alive,Dead,ChainLength,Leader,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,ChainRebuilt
1,100,0,100,0,100,100,0,100,100,4.4654331509,45.5345668491,934.4031595230,1.0000000000,0.9344000000,250.0000000000,0
2,100,0,100,1,100,100,0,100,100,4.4686336792,41.0659331698,934.4033886578,1.0000000000,0.9344000000,250.0000000000,0
3,100,0,100,2,100,100,0,100,100,4.4692619441,36.5966712258,934.4034130050,1.0000000000,0.9344000000,250.0000000000,0
4,100,0,100,3,100,100,0,100,100,4.4689738958,32.1276973300,934.4034021856,1.0000000000,0.9344000000,250.0000000000,0
5,100,0,100,4,100,100,0,100,100,4.4653648720,27.6623324580,934.4031480922,1.0000000000,0.9344000000,250.0000000000,0
6,100,0,100,5,100,100,0,100,100,4.4652548491,23.1970776090,934.4031272125,1.0000000000,0.9344000000,250.0000000000,0
7,100,0,100,6,100,100,0,100,100,4.4660261972,18.7310514117,934.4032322134,1.0000000000,0.9344000000,250.0000000000,0
8,100,0,100,7,100,100,0,100,100,4.4670945387,14.2639568731,934.4033127663,1.0000000000,0.9344000000,250.0000000000,0
9,100,0,100,8,100,100,0,100,100,4.4668467202,9.7971101529,934.4032971364,1.0000000000,0.9344000000,250.0000000000,0
10,100,0,100,9,100,100,0,100,100,4.4652628390,5.3318473139,934.4031288524,1.0000000000,0.9344000000,250.0000000000,0
11,90,10,100,10,100,0,100,90,90,4.0831482800,1.2486990338,0.0000000000,0.0000000000,0.8409600000,0.0000000000,1
12,10,90,90,11,90,0,90,0,0,0.7355203069,0.5131787270,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
13,3,97,10,24,10,0,10,0,0,0.0899057075,0.4232730195,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
14,2,98,3,42,3,1,2,1,1,0.0519076997,0.3713653198,9.3443887447,0.3333333333,0.0093440000,250.0000000000,1
15,2,98,2,42,2,2,0,2,2,0.0684926318,0.3028726880,18.6887893832,1.0000000000,0.0186880000,250.0000000000,0
16,2,98,2,42,2,2,0,2,2,0.0684926318,0.2343800563,18.6887893832,1.0000000000,0.0186880000,250.0000000000,0
17,2,98,2,42,2,2,0,2,2,0.0684926318,0.1658874245,18.6887893832,1.0000000000,0.0186880000,250.0000000000,0
18,2,98,2,42,2,2,0,2,2,0.0684926318,0.0973947927,18.6887893832,1.0000000000,0.0186880000,250.0000000000,0
19,1,99,2,42,2,0,2,0,0,0.0267571993,0.0706375934,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
20,1,99,1,-1,1,1,0,1,1,0.0273347729,0.0433028205,9.3446682871,1.0000000000,0.0093440000,250.0000000000,0
21,1,99,1,-1,1,1,0,1,1,0.0273347729,0.0159680475,9.3446682871,1.0000000000,0.0093440000,250.0000000000,0
22,0,100,1,-1,1,0,1,0,0,0.0159680475,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0
