Round,Alive,Dead,ChainLength,Leader,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,ChainRebuilt
1,50,50,100,0,100,0,100,0,0,26.7930702614,23.2069297386,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
2,25,75,50,2,50,0,50,0,0,12.5000956838,10.7068340548,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
3,13,87,25,8,25,0,25,0,0,5.5697536969,5.1370803579,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
4,7,93,13,20,13,1,12,1,1,2.6070391087,2.5300412492,12.2884680319,0.0769230769,0.0122880000,250.0000000000,1
5,4,96,7,20,7,1,6,1,1,1.2505661281,1.2794751212,12.2884680319,0.1428571429,0.0122880000,250.0000000000,1
6,2,98,4,20,4,0,4,0,0,0.7101838570,0.5692912642,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
7,1,99,2,71,2,0,2,0,0,0.3205253950,0.2487658692,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
8,1,99,1,-1,1,1,0,1,1,0.0423057113,0.2064601579,12.2886682871,1.0000000000,0.0122880000,250.0000000000,0
9,1,99,1,-1,1,1,0,1,1,0.0423057113,0.1641544466,12.2886682871,1.0000000000,0.0122880000,250.0000000000,0
10,1,99,1,-1,1,1,0,1,1,0.0423057113,0.1218487353,12.2886682871,1.0000000000,0.0122880000,250.0000000000,0
11,1,99,1,-1,1,1,0,1,1,0.0423057113,0.0795430241,12.2886682871,1.0000000000,0.0122880000,250.0000000000,0
12,1,99,1,-1,1,1,0,1,1,0.0423057113,0.0372373128,12.2886682871,1.0000000000,0.0122880000,250.0000000000,0
13,0,100,1,-1,1,0,1,0,0,0.0372373128,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0
