Node,Death_Round
0,1922
1,1736
2,1702
3,1704
4,1928
5,1946
6,1903
7,1818
8,1808
9,1948
10,1711
11,1811
12,1740
13,1791
14,1901
15,1813
16,1717
17,1718
18,1810
19,1920
20,1908
21,1873
22,1832
23,1854
24,1694
25,1726
26,1920
27,1841
28,1902
29,1923
30,1913
31,1710
32,1756
33,1771
34,1635
35,1893
36,1914
37,1712
38,1795
39,1738
40,1895
41,1840
42,2302
43,1752
44,1918
45,1791
46,1843
47,1939
48,1912
49,1924
50,1908
51,1926
52,1872
53,1954
54,1934
55,1955
56,1850
57,1711
58,1723
59,1665
60,1706
61,1863
62,1883
63,1856
64,1850
65,1726
66,1864
67,1927
68,1892
69,1941
70,1726
71,1672
72,1746
73,1199
74,1676
75,1618
76,1859
77,1820
78,1719
79,1876
80,1751
81,1782
82,1984
83,1842
84,1911
85,1717
86,1937
87,1871
88,1902
89,1790
90,1846
91,1890
92,1900
93,1956
94,1566
95,1702
96,1801
97,1895
98,1792
99,1851
