Node,Death_Round
0,1016
1,998
2,969
3,985
4,1003
5,1005
6,1006
7,1007
8,1008
9,1010
10,975
11,1011
12,1000
13,1012
14,1013
15,1014
16,984
17,980
18,1015
19,1017
20,1018
21,1019
22,1020
23,1021
24,964
25,992
26,1022
27,1023
28,1024
29,1025
30,1026
31,973
32,1015
33,1019
34,935
35,1027
36,1028
37,974
38,1029
39,990
40,1030
41,1031
42,1038
43,1005
44,1039
45,1024
46,1040
47,1041
48,1042
49,1043
50,1044
51,1045
52,1046
53,1047
54,1048
55,1049
56,1050
57,975
58,981
59,960
60,970
61,1051
62,1052
63,1053
64,1054
65,982
66,1055
67,1056
68,1057
69,1058
70,983
71,972
72,994
73,796
74,974
75,975
76,989
77,1059
78,979
79,1060
80,997
81,1029
82,1064
83,1055
84,1065
85,986
86,1066
87,1067
88,1068
89,1023
90,1058
91,1069
92,1070
93,1071
94,995
95,996
96,1041
97,1075
98,1026
99,1058
