Node,Death_Round
0,801
1,769
2,746
3,758
4,802
5,803
6,804
7,805
8,800
9,806
10,750
11,804
12,770
13,792
14,807
15,802
16,758
17,755
18,801
19,808
20,809
21,810
22,811
23,812
24,742
25,764
26,813
27,814
28,815
29,816
30,817
31,749
32,782
33,785
34,735
35,818
36,819
37,750
38,799
39,764
40,820
41,814
42,824
43,775
44,825
45,793
46,826
47,827
48,828
49,829
50,830
51,831
52,832
53,833
54,834
55,835
56,819
57,758
58,759
59,760
60,761
61,836
62,836
63,821
64,818
65,766
66,830
67,837
68,838
69,839
70,771
71,772
72,773
73,674
74,774
75,775
76,777
77,840
78,779
79,841
80,781
81,793
82,843
83,815
84,844
85,786
86,845
87,828
88,844
89,790
90,819
91,837
92,846
93,855
94,795
95,796
96,805
97,838
98,799
99,822
