Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0248707616,49.9601042384,33.3333333333,11.5316896152,1.0000000000,0.8888000000,226.8226822682,0,0,0,54,0
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0171073626,49.9429968758,33.3333333333,11.5316896152,1.0000000000,0.8064000000,250.0000000000,0,0,0,54,0
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0171073626,49.9258895133,33.3333333333,11.5316896152,1.0000000000,0.8064000000,250.0000000000,0,0,0,54,0
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0171073626,49.9087821507,33.3333333333,11.5316896152,1.0000000000,0.8064000000,250.0000000000,0,0,0,54,0
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0171073626,49.8916747881,33.3333333333,11.5316896152,1.0000000000,0.8064000000,250.0000000000,0,0,0,54,0
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0364500853,49.8552247028,9.0909090909,14.9185624856,1.0000000000,0.8952000000,225.2010723861,0,0,0,4,0
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0204730560,49.8347516469,9.0909090909,14.9185624856,1.0000000000,0.8064000000,250.0000000000,0,0,0,4,0
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0204730560,49.8142785909,9.0909090909,14.9185624856,1.0000000000,0.8064000000,250.0000000000,0,0,0,4,0
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0204730560,49.7938055350,9.0909090909,14.9185624856,1.0000000000,0.8064000000,250.0000000000,0,0,0,4,0
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0204730560,49.7733324790,9.0909090909,14.9185624856,1.0000000000,0.8064000000,250.0000000000,0,0,0,4,0
11,100,0,7,100,100,0,0,1,107,879,100,100,0.0314678186,49.7418646605,14.2857142857,14.0315271503,1.0000000000,0.8920000000,226.0089686099,0,0,0,19,0
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0197179771,49.7221466834,14.2857142857,14.0315271503,1.0000000000,0.8064000000,250.0000000000,0,0,0,19,0
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0197179771,49.7024287063,14.2857142857,14.0315271503,1.0000000000,0.8064000000,250.0000000000,0,0,0,19,0
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0197179771,49.6827107292,14.2857142857,14.0315271503,1.0000000000,0.8064000000,250.0000000000,0,0,0,19,0
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0197179771,49.6629927521,14.2857142857,14.0315271503,1.0000000000,0.8064000000,250.0000000000,0,0,0,19,0
16,100,0,7,100,100,0,0,1,107,879,100,100,0.0313008800,49.6316918721,14.2857142857,13.9508827570,1.0000000000,0.8920000000,226.0089686099,0,0,0,20,0
