Node,Death_Round
0,2085
1,2081
2,2061
3,2071
4,2051
5,2086
6,2058
7,2076
8,2051
9,2096
10,2006
11,2016
12,2061
13,2071
14,2046
15,2061
16,2076
17,2026
18,2016
19,2076
20,2056
21,2081
22,2046
23,2086
24,2021
25,2056
26,2036
27,2083
28,2101
29,2054
30,2061
31,2056
32,2086
33,2021
34,2031
35,1986
36,2061
37,2076
38,2101
39,1996
40,2021
41,2101
42,2071
43,2001
44,2075
45,2046
46,2096
47,2081
48,2051
49,2077
50,2096
51,2046
52,2041
53,2065
54,2081
55,2036
56,2056
57,2061
58,2091
59,2056
60,2066
61,2046
62,2086
63,2041
64,2021
65,2071
66,2081
67,2086
68,2048
69,2011
70,2031
71,2061
72,2051
73,2041
74,2076
75,2076
76,2031
77,2041
78,2046
79,2066
80,2101
81,2061
82,2101
83,2016
84,2086
85,2061
86,2086
87,2089
88,2101
89,2001
90,2081
91,1981
92,2041
93,2068
94,2091
95,2066
96,2001
97,2072
98,2091
99,2066
